PathParameter	MaxPathLikelihood	MLContribution
0.0000	-61367	-0.014328
2.1544e-07	-60115	-0.13011
2.1715e-06	-60820	-0.41318
8.3895e-06	-60749	-0.89856
2.1888e-05	-61413	-1.6009
4.6050e-05	-60945	-2.5559
8.4561e-05	-61086	-3.7596
0.00014136	-61730	-5.2424
0.00022061	-60672	-6.9852
0.00032669	-60311	-8.9883
0.00046416	-60017	-11.313
0.00063774	-59361	-13.862
0.00085232	-59280	-16.665
0.0011130	-58257	-19.680
0.0014248	-56074	-22.941
0.0017932	-56853	-26.324
0.0022237	-55606	-29.932
0.0027216	-52620	-33.006
0.0032929	-51314	-36.381
0.0039432	-49317	-39.286
0.0046784	-47325	-42.286
0.0055047	-44110	-44.046
0.0064280	-39878	-45.299
0.0074546	-37794	-46.121
0.0085909	-35449	-47.703
0.0098431	-34175	-49.791
0.011218	-33095	-52.145
0.012722	-31909	-54.910
0.014361	-30530	-57.353
0.016143	-30129	-60.987
0.018075	-29608	-64.647
0.020162	-29290	-68.407
0.022413	-28807	-72.097
0.024834	-28757	-76.720
0.027432	-28314	-80.972
0.030215	-28108	-86.190
0.033190	-28073	-91.110
0.036364	-27874	-96.342
0.039745	-27781	-101.81
0.043339	-27695	-107.60
0.047156	-27560	-113.34
0.051201	-27571	-119.63
0.055484	-27457	-125.99
0.060011	-27442	-132.66
0.064790	-27358	-139.44
0.069830	-27310	-146.44
0.075138	-27253	-153.67
0.080722	-27223	-161.23
0.086591	-27220	-168.96
0.092751	-27178	-176.92
0.099213	-27152	-185.23
0.10598	-27154	-193.53
0.11307	-27129	-202.21
0.12048	-27096	-211.10
0.12823	-27093	-220.20
0.13631	-27080	-229.58
0.14475	-27060	-239.10
0.15355	-27028	-248.88
0.16271	-27028	-259.00
0.17226	-27011	-269.22
0.18218	-26999	-279.67
0.19250	-26993	-290.45
0.20322	-26986	-301.46
0.21436	-26955	-312.59
0.22591	-26957	-324.15
0.23789	-26972	-335.85
0.25031	-26944	-347.75
0.26318	-26945	-359.98
0.27650	-26942	-372.40
0.29029	-26926	-385.12
0.30455	-26931	-398.05
0.31930	-26930	-411.21
0.33454	-26929	-424.65
0.35028	-26922	-438.35
0.36653	-26916	-452.30
0.38330	-26904	-466.48
0.40060	-26907	-480.90
0.41844	-26904	-495.61
0.43683	-26905	-510.60
0.45578	-26899	-525.80
0.47530	-26899	-541.30
0.49539	-26898	-557.01
0.51608	-26896	-573.01
0.53735	-26893	-589.24
0.55924	-26892	-605.82
0.58174	-26887	-622.55
0.60487	-26882	-639.60
0.62863	-26883	-656.91
0.65304	-26882	-674.52
0.67811	-26882	-692.34
0.70384	-26877	-710.46
0.73025	-26878	-728.89
0.75734	-26877	-747.54
0.78513	-26877	-766.46
0.81363	-26874	-785.67
0.84284	-26871	-805.14
0.87278	-26871	-824.88
0.90345	-26874	-844.93
0.93488	-26867	-865.21
0.96705	-26864	-885.79
1.0000	-26866	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -27353.476188393095
