PathParameter	MaxPathLikelihood	MLContribution
0.0000	-86054	-0.019822
2.1544e-07	-86586	-0.18024
2.1715e-06	-84526	-0.57252
8.3895e-06	-84180	-1.2429
2.1888e-05	-86008	-2.2180
4.6050e-05	-86801	-3.5395
8.4561e-05	-85512	-5.2081
0.00014136	-84998	-7.2441
0.00022061	-84724	-9.6703
0.00032669	-84399	-12.451
0.00046416	-83934	-15.642
0.00063774	-83752	-19.213
0.00085232	-82608	-23.093
0.0011130	-83015	-27.356
0.0014248	-80895	-31.870
0.0017932	-81346	-36.877
0.0022237	-76968	-41.652
0.0027216	-76110	-46.680
0.0032929	-73014	-51.224
0.0039432	-71475	-55.765
0.0046784	-69306	-60.345
0.0055047	-64313	-63.056
0.0064280	-61731	-66.831
0.0074546	-57689	-69.051
0.0085909	-54525	-71.611
0.0098431	-50372	-73.219
0.011218	-48300	-76.452
0.012722	-46823	-79.874
0.014361	-45223	-84.417
0.016143	-44324	-88.493
0.018075	-43591	-93.625
0.020162	-42382	-99.118
0.022413	-42479	-105.24
0.024834	-42314	-111.89
0.027432	-41648	-118.44
0.030215	-41562	-125.94
0.033190	-41561	-133.79
0.036364	-41293	-141.62
0.039745	-41210	-150.11
0.043339	-41063	-158.67
0.047156	-40944	-167.57
0.051201	-40877	-176.86
0.055484	-40875	-186.61
0.060011	-40733	-196.57
0.064790	-40645	-206.81
0.069830	-40580	-217.37
0.075138	-40591	-228.34
0.080722	-40539	-239.64
0.086591	-40534	-251.14
0.092751	-40440	-263.02
0.099213	-40400	-275.24
0.10598	-40401	-287.77
0.11307	-40379	-300.74
0.12048	-40348	-313.93
0.12823	-40333	-327.56
0.13631	-40283	-341.44
0.14475	-40279	-355.71
0.15355	-40283	-370.35
0.16271	-40250	-385.32
0.17226	-40231	-400.60
0.18218	-40213	-416.18
0.19250	-40193	-432.26
0.20322	-40184	-448.64
0.21436	-40167	-465.31
0.22591	-40147	-482.30
0.23789	-40162	-499.79
0.25031	-40142	-517.65
0.26318	-40137	-535.81
0.27650	-40122	-554.32
0.29029	-40127	-573.29
0.30455	-40115	-592.51
0.31930	-40094	-612.14
0.33454	-40120	-632.35
0.35028	-40103	-652.79
0.36653	-40103	-673.49
0.38330	-40106	-694.69
0.40060	-40087	-716.19
0.41844	-40079	-738.15
0.43683	-40091	-760.50
0.45578	-40075	-783.08
0.47530	-40074	-806.16
0.49539	-40068	-829.64
0.51608	-40069	-853.47
0.53735	-40070	-877.70
0.55924	-40066	-902.27
0.58174	-40064	-927.30
0.60487	-40059	-952.71
0.62863	-40057	-978.57
0.65304	-40053	-1004.8
0.67811	-40045	-1031.3
0.70384	-40047	-1058.4
0.73025	-40042	-1085.8
0.75734	-40042	-1113.6
0.78513	-40036	-1141.8
0.81363	-40045	-1170.4
0.84284	-40040	-1199.4
0.87278	-40038	-1228.9
0.90345	-40036	-1258.7
0.93488	-40034	-1289.0
0.96705	-40031	-1319.7
1.0000	-40032	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -40667.16508146168
