PathParameter	MaxPathLikelihood	MLContribution
0.0000	-58141	-0.013545
2.1544e-07	-58869	-0.12290
2.1715e-06	-58239	-0.38977
8.3895e-06	-58825	-0.84675
2.1888e-05	-57987	-1.5133
4.6050e-05	-58789	-2.4063
8.4561e-05	-58514	-3.5541
0.00014136	-58137	-4.9419
0.00022061	-58934	-6.6090
0.00032669	-58431	-8.5119
0.00046416	-57861	-10.688
0.00063774	-57636	-13.165
0.00085232	-57500	-15.915
0.0011130	-57009	-18.891
0.0014248	-55826	-22.081
0.0017932	-55284	-25.536
0.0022237	-55298	-29.217
0.0027216	-54058	-32.929
0.0032929	-53557	-36.959
0.0039432	-52365	-40.872
0.0046784	-50581	-44.721
0.0055047	-50020	-48.571
0.0064280	-47230	-51.651
0.0074546	-43794	-53.911
0.0085909	-40159	-54.316
0.0098431	-37994	-55.945
0.011218	-34647	-55.213
0.012722	-31223	-55.194
0.014361	-29691	-57.545
0.016143	-29548	-60.387
0.018075	-29041	-62.899
0.020162	-28258	-66.118
0.022413	-27656	-69.699
0.024834	-27462	-73.476
0.027432	-27221	-77.853
0.030215	-26843	-82.515
0.033190	-26851	-87.276
0.036364	-26667	-92.215
0.039745	-26588	-97.338
0.043339	-26527	-102.98
0.047156	-26355	-108.55
0.051201	-26392	-114.53
0.055484	-26291	-120.52
0.060011	-26196	-126.86
0.064790	-26150	-133.32
0.069830	-26068	-140.10
0.075138	-26074	-147.11
0.080722	-26008	-154.22
0.086591	-25979	-161.51
0.092751	-25963	-169.13
0.099213	-25939	-176.94
0.10598	-25911	-184.95
0.11307	-25883	-193.22
0.12048	-25849	-201.70
0.12823	-25854	-210.38
0.13631	-25860	-219.28
0.14475	-25827	-228.37
0.15355	-25817	-237.66
0.16271	-25810	-247.37
0.17226	-25800	-257.09
0.18218	-25784	-267.11
0.19250	-25772	-277.36
0.20322	-25769	-287.78
0.21436	-25755	-298.52
0.22591	-25739	-309.47
0.23789	-25743	-320.60
0.25031	-25724	-332.04
0.26318	-25717	-343.64
0.27650	-25709	-355.51
0.29029	-25700	-367.60
0.30455	-25704	-379.94
0.31930	-25697	-392.47
0.33454	-25691	-405.31
0.35028	-25686	-418.36
0.36653	-25684	-431.64
0.38330	-25671	-445.19
0.40060	-25675	-458.94
0.41844	-25663	-472.95
0.43683	-25665	-487.21
0.45578	-25660	-501.71
0.47530	-25651	-516.46
0.49539	-25654	-531.45
0.51608	-25646	-546.69
0.53735	-25652	-562.20
0.55924	-25642	-577.93
0.58174	-25648	-593.94
0.60487	-25643	-610.14
0.62863	-25636	-626.65
0.65304	-25645	-643.48
0.67811	-25635	-660.44
0.70384	-25632	-677.71
0.73025	-25630	-695.24
0.75734	-25623	-712.95
0.78513	-25623	-731.03
0.81363	-25623	-749.31
0.84284	-25626	-767.94
0.87278	-25623	-786.76
0.90345	-25622	-805.77
0.93488	-25600	-825.05
0.96705	-25590	-844.59
1.0000	-25604	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26176.87485639668
