# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 16:45:34 AEST 2019 [seed=1557729932282]
# -overwrite GSS_ucld_dates_het_rel0.1_sim_9.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-58197.705288182406	-1043.3021339518432	-57154.40315423056	3.864712166152427	1.1152878338475736	19.479322901959456	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.29238342698254355	1.4349086944090446	-0.05735853233295906	-57154.40315423056	-934.7322331602379	-99.78897117593334
5000	-37309.366950898606	-1274.593674695205	-36034.7732762034	3.7217379158299244	1.258262084170076	84.8720540859606	44.821662468580485	0.9724406501460563	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.22033884502909684	0.021976925465889648	0.015100891270623352	0.02020164558234289	0.6788582966158205	-0.15238088225032845	-36034.7732762034	-934.7322331602379	-336.14010779670974
10000	-30980.76658783955	-1346.1925357937453	-29634.574052045806	5.837857102573849	-0.8578571025738482	193.30866153193668	218.37829098545333	0.7388981273338375	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2952481516661125	0.006331642886484389	0.0033081865047216302	0.006038177661605665	0.5368054285373927	-0.06995230207059411	-29634.574052045806	-934.7322331602379	-407.7975583469218
15000	-26282.49266356928	-1364.0590999192614	-24918.43356365002	7.954695608486889	-2.974695608486889	241.74616185941113	258.60918050416865	0.6781209402303228	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.40431027064087655	0.003199710517860546	0.002043535583248246	0.0030715690180091525	0.6273089197919238	0.14660985780296693	-24918.43356365002	-934.7322331602379	-426.011753885811
20000	-24682.139998248214	-1337.7504365668456	-23344.389561681368	6.417714350876885	-1.4377143508768846	174.0514702188756	114.87709723165524	0.6384035072792964	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5319868635451898	0.003607660261165704	0.0011488518794751902	0.0036587420708391505	0.31900277045960956	0.044683843014711136	-23344.389561681368	-934.7322331602379	-400.8487906841388
25000	-23147.86480850457	-1320.8809400461123	-21826.98386845846	5.6959785134741105	-0.7159785134741101	145.1193754278892	105.90978809236128	0.8445751929480996	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8983887275594381	0.0038607125752131415	9.322650720860377E-4	0.0038040181160909512	0.23540737115852128	0.013813931403060753	-21826.98386845846	-934.7322331602379	-383.0735026188574
30000	-23073.019653281488	-1312.4469451955388	-21760.57270808595	5.020396195619427	-0.040396195619426756	131.1912686037546	97.63065056576872	0.8199203533240149	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9220226506542039	0.004077597168870752	0.0010371180107170853	0.004078963342428159	0.25648185615101765	-0.026869409541992934	-21760.57270808595	-934.7322331602379	-374.64691239394085
35000	-23093.93905505956	-1313.72091157771	-21780.21814348185	4.868609100878702	0.1113908991212984	130.09857840710757	137.52018284758051	1.087670818607548	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0327211142009494	0.004325817885560798	7.997938407429012E-4	0.004296003455194311	0.171112284820629	-0.028419335505376276	-21780.21814348185	-934.7322331602379	-374.97198181713264
40000	-23077.720029424418	-1315.2143257310577	-21762.50570369336	5.231481287442482	-0.25148128744248144	131.2855451749307	132.31856366345912	1.0741697817447413	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1601866231073548	0.004161510840239424	3.9896053452674667E-4	0.004179110692811919	0.09205483840308837	-0.040411651580305595	-21762.50570369336	-934.7322331602379	-376.3175238515166
45000	-23060.70942926761	-1301.3771032613708	-21759.33232600624	4.542182097492054	0.4378179025079465	115.70051178713683	67.75763068192558	0.8785485143816629	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0412600271633308	0.004631830219114188	4.624379509276612E-4	0.00461780593473811	0.10683152986684509	0.046023602948450155	-21759.33232600624	-934.7322331602379	-363.4529140700939
50000	-23073.96658535232	-1297.6170410212922	-21776.349544331028	4.341224010170038	0.6387759898299628	111.71843569245995	75.28623349601418	0.9088291585264741	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.088886687219453	0.004911018501392369	5.689123915774716E-4	0.004941131586626345	0.1273774338413277	0.09789977343200885	-21776.349544331028	-934.7322331602379	-359.4321899428563
55000	-23063.780620801685	-1303.8711459299966	-21759.90947487169	4.610765659380926	0.3692343406190748	119.82512541898774	104.34446602162832	1.0350211567571608	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.997540127502696	0.004441824006093399	4.965128564731311E-4	0.004464549837144889	0.11512531567930752	-0.004615920528326486	-21759.90947487169	-934.7322331602379	-365.5540739835796
60000	-23066.76369508834	-1306.0880251140761	-21760.675669974262	4.827169122622239	0.15283087737776135	121.68965157266447	117.20442203061454	0.9989314135897092	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.00721371980035	0.0044744504507939	6.466611105996994E-4	0.00455425256062721	0.13584212003474355	0.019933080893722963	-21760.675669974262	-934.7322331602379	-367.6504545920375
65000	-23053.208328757406	-1294.4601236675353	-21758.74820508987	4.58972097165691	0.39027902834309014	107.95444818802399	59.63313413379946	0.8269524881861656	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1081952252083729	0.005179987228170699	5.962315353939123E-4	0.005123309795118322	0.11444723460176937	0.021651303659180703	-21758.74820508987	-934.7322331602379	-356.42063305489455
70000	-23057.240963825636	-1298.86177228965	-21758.379191535987	4.712912044292066	0.2670879557079342	113.98293419518947	70.92218954850938	0.9237056211261965	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0660349105498348	0.00507304687960767	6.412290453249507E-4	0.004961965420875332	0.10830218579128637	-0.035529371928578746	-21758.379191535987	-934.7322331602379	-360.7153857039756
75000	-23057.6581715984	-1293.9218531240106	-21763.736318474388	4.458015164233505	0.5219848357664958	107.78325820008784	74.15300275080831	1.0643812851681789	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.981003494339007	0.005392935428285841	8.220965501982804E-4	0.005349043407758011	0.15247695664709157	-0.09898994598343806	-21763.736318474388	-934.7322331602379	-355.7104382698565
80000	-23065.949502839445	-1291.547394807973	-21774.40210803147	4.442552011549532	0.5374479884504684	105.87801706213442	68.5874267823329	1.0150381310255447	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9632040185865515	0.005223743140657336	2.908304664482124E-4	0.005228071860043007	0.058601460601481026	-0.03135686339431573	-21774.40210803147	-934.7322331602379	-353.5133806678706
85000	-23055.371031674033	-1295.2713881527009	-21760.09964352133	4.36943109936086	0.6105689006391408	107.52708516560592	69.78566039010309	1.091755734374809	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8398415889876126	0.005223122539248116	3.581380676623133E-4	0.005156233605135573	0.06826729245595235	0.001788118712573444	-21760.09964352133	-934.7322331602379	-357.3944363992651
90000	-23035.457054353443	-1283.0597084478172	-21752.397345905625	3.9653716986560417	1.0146283013439588	96.11188429935086	54.56284153087322	0.895683417374924	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9010671990171517	0.005764172103839441	5.79953981960567E-4	0.005671889794981634	0.09512245711632572	-0.15489687945846786	-21752.397345905625	-934.7322331602379	-345.31016427094755
95000	-23047.338981412766	-1284.1598259200127	-21763.17915549275	3.831764360361649	1.1482356396383513	94.90022862661787	54.299542609008576	1.1415770850237592	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9349663178028732	0.0057821592189909515	2.911432674568143E-4	0.0057640306644164705	0.04561081326163894	0.0033655845468006933	-21763.17915549275	-934.7322331602379	-346.0974652179322
100000	-23047.61017342854	-1285.5941466361974	-21762.016026792342	3.928872600304376	1.0511273996956243	98.27602546794861	64.28849055343383	1.1120176758506186	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9908383785951141	0.00556086941747533	2.585594526765218E-4	0.005527219569957599	0.04793864144544674	-0.05968840121587533	-21762.016026792342	-934.7322331602379	-347.3890259337094
105000	-23043.09561654214	-1284.268979812201	-21758.82663672994	4.124896531077771	0.8551034689222297	98.15534082079334	69.11771779640628	1.080904762669268	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8410705210261139	0.005573014857467445	1.4404197822783868E-4	0.00555534721415453	0.02550718536093599	-0.007364061618311005	-21758.82663672994	-934.7322331602379	-346.34433274965016
110000	-23044.908257676834	-1284.2554434896028	-21760.65281418723	4.005305276611148	0.9746947233888523	97.35644519433654	61.864330276161944	0.9989043826886845	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9207359784276788	0.005561622960184762	3.9914344184503476E-4	0.005579279656818775	0.0697311683046293	0.10792452609368083	-21760.65281418723	-934.7322331602379	-346.3277327006052
115000	-23033.846557708326	-1290.7651515542366	-21743.081406154088	4.318405451526097	0.6615945484739036	103.6778096543324	81.61249056354	1.0441904334640457	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9257739433364803	0.005234377813350153	7.537894239817651E-4	0.005195754694770772	0.14680911957344653	-0.009944488124978362	-21743.081406154088	-934.7322331602379	-352.64407983283047
120000	-23056.683196970425	-1297.9698687829032	-21758.71332818752	4.954795282443183	0.02520471755681708	112.9884059039473	79.85935547342044	0.9313630607655756	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0884306324600619	0.004840081289921832	2.810128291527147E-4	0.004865909438976266	0.05777914186759032	0.08836815479747591	-21758.71332818752	-934.7322331602379	-359.7332332810225
125000	-23063.29995430902	-1301.7775861082469	-21761.52236820077	4.673317575908038	0.3066824240919628	115.17178537749503	95.26926764185033	1.0555029356125811	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1405038009572834	0.004616425790455686	3.8023467585148027E-4	0.004613101016142458	0.08712549811592822	-0.01062246614330623	-21761.52236820077	-934.7322331602379	-363.20668384515074
130000	-23069.70393373705	-1303.1345805024541	-21766.569353234598	4.8708968647084685	0.10910313529153193	119.35634806632882	78.14930328038596	0.8803757299026618	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9699849788564409	0.004397803520769433	3.422141453235213E-4	0.004440527359322876	0.06636318601441261	0.10267506486829042	-21766.569353234598	-934.7322331602379	-365.30003517265123
135000	-23070.924214074184	-1303.1570808706128	-21767.76713320357	5.056039222068932	-0.07603922206893188	119.55187492911884	79.39960748482387	0.8998712369103328	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8313955863842545	0.004642982133574767	3.829707287999758E-5	0.004643484613101006	0.008531183381296863	-0.13830565838147352	-21767.76713320357	-934.7322331602379	-365.5121486725586
140000	-23060.018629020888	-1303.1209903216811	-21756.897638699207	4.891236509172364	0.08876349082763646	118.61455325255997	76.24562584781783	0.9444629642069169	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.992370718689713	0.004593080633528453	7.32688916854351E-5	0.0045949805607067296	0.01571357464120485	-0.023176593146828562	-21756.897638699207	-934.7322331602379	-365.15268939996633
145000	-23058.447911365838	-1300.4059990300586	-21758.04191233578	4.618364330231044	0.36163566976895645	114.79719080345696	61.43168851941527	0.8485482914922244	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.057958241730865	0.0048940066991417005	1.3123979945981926E-4	0.004905027398002526	0.02663337989093858	-0.10076435994738146	-21758.04191233578	-934.7322331602379	-362.4853049083793
150000	-23051.210940148496	-1294.3803395826662	-21756.83060056583	4.418809664654158	0.5611903353458425	107.94307621099716	62.59552911768046	0.9513492096699585	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9971417947215556	0.0049501262499821695	3.496095754442472E-4	0.004942757249905464	0.07269955090147859	-0.0061314560918164975	-21756.83060056583	-934.7322331602379	-356.4571879149885
155000	-23050.06609576477	-1299.6158943686776	-21750.450201396092	4.356048797102952	0.6239512028970484	108.8655960111712	135.60524173586822	1.3343679648289635	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0793454401730989	0.0048918472925079375	3.1026083689767315E-4	0.00489000653658697	0.06097820852960403	-0.03269871969452428	-21750.450201396092	-934.7322331602379	-360.42729211939945
160000	-23061.560980273476	-1292.2268915909406	-21769.334088682535	4.432776918214363	0.5472230817856376	105.6150305505695	81.21762423068407	1.0187892772954905	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9284823930550232	0.005298088153536336	3.371527900564023E-4	0.005292412431583447	0.06625667182695437	-0.08110747112358388	-21769.334088682535	-934.7322331602379	-354.1173410567668
165000	-23052.21988422526	-1297.5097957563703	-21754.710088468888	4.558609611178092	0.4213903888219086	109.27627884655485	103.2280618323679	1.2302534917232653	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8837572422209924	0.005118893312292285	3.585231456360517E-4	0.005104506518100713	0.06876269911028443	0.012187663499788927	-21754.710088468888	-934.7322331602379	-359.0924901574575
170000	-23041.70552766249	-1298.7151137211072	-21742.99041394138	4.833779363690206	0.14622063630979465	114.25322541900553	66.4941218923753	0.839573886609607	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0912665229670298	0.004671622542114452	7.889501691026791E-4	0.004721103760442817	0.17513976690874714	-0.05401117262638237	-21742.99041394138	-934.7322331602379	-360.7331278197009
175000	-23047.25131006075	-1294.2569282950126	-21752.994381765737	4.654888787901541	0.3251112120984594	108.73004775510697	57.25380658435958	0.8112107903692234	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9903386899336439	0.004940145077253641	4.500533038156756E-4	0.004961977905984268	0.08169296237474354	0.04102764099167969	-21752.994381765737	-934.7322331602379	-356.5424680706653
180000	-23058.224286107656	-1313.8615095052446	-21744.36277660241	5.5028561239007105	-0.5228561239007101	130.91913208245444	95.56769094480818	0.9109828523892927	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0780612754141643	0.004121583033554986	5.43874835064365E-4	0.004135608593810592	0.12384185615301624	0.05172628365054574	-21744.36277660241	-934.7322331602379	-375.6693943831486
185000	-23054.8755198772	-1301.10466193266	-21753.770857944543	4.708733300864895	0.27126669913510515	113.83260748239181	109.07873935172059	1.1630282522826099	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0738732348853863	0.0047672361618972415	7.28558963082206E-4	0.004818655540700221	0.14859467152313544	0.0500652354844432	-21753.770857944543	-934.7322331602379	-362.38745000537716
190000	-23065.622724770277	-1296.875153727555	-21768.74757104272	4.5243704757191505	0.4556295242808499	110.27269551779276	77.32742157158225	0.8799504008678527	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.949358928761345	0.005097048747427388	4.0240198536225906E-4	0.005011974247465831	0.07969889627721458	-0.05137595701211687	-21768.74757104272	-934.7322331602379	-358.939807708408
195000	-23050.06222271915	-1297.8719639927672	-21752.190258726383	4.27897735059469	0.70102264940531	110.28458645245901	119.32276444321857	1.2510448399569374	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8384195105520786	0.005126205764547958	5.595123908826218E-4	0.00499226133160106	0.1137996632982326	0.019421181075798172	-21752.190258726383	-934.7322331602379	-359.3609033092902
200000	-23070.284293833924	-1294.940790822149	-21775.343503011776	4.417334489427102	0.5626655105728986	109.3003923471164	91.98865514090977	1.1781392518203875	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0579747958612689	0.004886174333175776	2.378539651092537E-4	0.004861407056549558	0.04726191252183335	-0.11885479876418074	-21775.343503011776	-934.7322331602379	-356.38860789886326
205000	-23053.226872918083	-1301.958149577342	-21751.26872334074	4.656837619220135	0.32316238077986537	115.19218664674149	125.26457472791242	1.1983456439562705	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8664978082335405	0.004649834454984061	4.099703200655301E-4	0.004680149566895285	0.08301298567721957	0.026878523949245184	-21751.26872334074	-934.7322331602379	-363.48491485119763
210000	-23060.301814218325	-1296.6496236582693	-21763.652190560057	4.453215397507649	0.5267846024923513	110.29135767387478	58.83506410505482	0.8132430836769127	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9624543774260742	0.004931920885651376	5.328810427859257E-4	0.004957056239327191	0.10766878382092582	0.021143138156047046	-21763.652190560057	-934.7322331602379	-358.97399443722816
215000	-23054.157500756064	-1310.867279050703	-21743.29022170536	5.299855717314524	-0.3198557173145238	129.62555674435265	99.9804298284747	0.8851830028760412	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7974387205077451	0.004175434526266295	5.595183076649795E-4	0.004157642189686281	0.14572235536350414	-0.0357711853065094	-21743.29022170536	-934.7322331602379	-373.20493013277826
220000	-23065.114529078888	-1315.0432548932479	-21750.07127418564	5.175601065890853	-0.1956010658908527	135.26494140065603	117.1450360348477	0.956171155799671	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9762729659859475	0.004204454342948089	5.041631556403865E-4	0.004171392476285014	0.12765381608682566	-0.1567097933548202	-21750.07127418564	-934.7322331602379	-376.7711267558337
225000	-23061.800883131033	-1303.9844630722882	-21757.816420058745	4.5223596380578535	0.45764036194214697	118.70164675692573	89.3116750477256	0.8845180117811591	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9841280946271506	0.004396673088577855	3.7809913977123713E-4	0.004360569621448196	0.08971233880825477	0.012414522324270368	-21757.816420058745	-934.7322331602379	-366.00614964455724
230000	-23071.234037380673	-1306.06368679672	-21765.170350583954	4.6063369471920765	0.3736630528079239	120.81313582463183	120.52282423908119	1.0672731368215238	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.134718992329498	0.004613173415770584	2.904821819444425E-4	0.004603590886990267	0.06927735310946442	-0.08484686256952903	-21765.170350583954	-934.7322331602379	-367.23893019043504
235000	-23053.480943654075	-1294.7699560018445	-21758.71098765223	4.300930576631178	0.6790694233688228	106.86129622999924	95.98009326911216	1.040805648885409	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9408157195928759	0.005003128446354303	6.31327219421253E-4	0.00503865286686176	0.12645857594052998	0.08263178291007114	-21758.71098765223	-934.7322331602379	-356.5246389927524
240000	-23038.71445424807	-1297.5798128824476	-21741.134641365625	4.311383441999601	0.6686165580003998	111.31992230834136	78.34385950939627	0.9030876233409186	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8997259488432451	0.004730672506755464	6.386402234701815E-4	0.004742920756923559	0.14054099685815621	-0.006857610531428831	-21741.134641365625	-934.7322331602379	-359.7871928224215
245000	-23060.095000944966	-1292.351705868982	-21767.743295075983	4.136623045164886	0.8433769548351142	105.49170557575425	88.15813617536514	1.0486489049129069	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.894297133838724	0.005331078890274516	4.473093617893538E-4	0.005348832697972698	0.08444100512748147	-0.011519615612125243	-21767.743295075983	-934.7322331602379	-354.20441578765707
250000	-23057.17418360093	-1295.6772281175772	-21761.496955483355	4.304865825225012	0.6751341747749882	106.75962194068933	61.508011692879116	0.7496060441148202	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9221198673613783	0.0052763443098245355	1.9522887424489879E-4	0.00525189571337026	0.037415444935279284	0.015657877897022512	-21761.496955483355	-934.7322331602379	-358.05081079594345
255000	-23043.785697867443	-1289.4506746837355	-21754.335023183707	4.25378113372952	0.7262188662704805	102.57663938994753	63.05227975425101	0.9649269104170686	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0914610491623156	0.005330237509543585	4.764274561472878E-4	0.0053526629651015414	0.09105380193734797	0.16375925640989367	-21754.335023183707	-934.7322331602379	-351.24544459446275
260000	-23037.730238319204	-1284.004035537022	-21753.72620278218	4.2037448394958234	0.776255160504177	97.51121709443763	63.70133335858234	1.0590306921518864	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0087207985408142	0.005425053480740169	3.196795857750954E-4	0.005489886252673364	0.06165635150317428	-0.12399438338577508	-21753.72620278218	-934.7322331602379	-345.8477787772203
265000	-23045.465751611446	-1293.5133467014753	-21751.95240490997	4.477913053867985	0.5020869461320157	107.83430830802192	68.46108231189739	0.9305296551781579	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0092218701536917	0.005128037969443956	4.5705472748431745E-4	0.005149598619012718	0.09504574668659192	-0.02125849622064792	-21751.95240490997	-934.7322331602379	-355.4910709016952
270000	-23051.509109156228	-1288.7176505353448	-21762.791458620883	4.126764046938346	0.8532359530616542	101.53136880209298	76.17709750647414	1.1877215066854137	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9806003054596357	0.0055865095036997355	1.422717103372053E-4	0.005584105526992203	0.024435039123259134	0.056772194814909124	-21762.791458620883	-934.7322331602379	-350.3320528742162
275000	-23050.577500986667	-1285.8363853598134	-21764.741115626854	4.035971984681278	0.9440280153187226	99.32207818903328	71.13749851938087	1.1262497652872208	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0316739787561549	0.005431380504718598	3.411049090164747E-4	0.005482915842771483	0.06613188708981581	-0.0996461110224481	-21764.741115626854	-934.7322331602379	-347.4907422501313
280000	-23050.006194220023	-1290.2112283268843	-21759.79496589314	4.174173825203204	0.8058261747967963	102.60786772891888	50.656182238883886	0.8349427162703535	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0667226100393343	0.005475573031225417	6.41144065643445E-4	0.005466496561550993	0.12045746446963546	0.12327773343931847	-21759.79496589314	-934.7322331602379	-352.2805487415663
285000	-23054.936967288304	-1292.0270601173818	-21762.90990717092	4.2720241590898285	0.707975840910172	105.97939415777381	67.62941073879567	0.9905932315283859	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.920053802603227	0.005285985047954385	6.745705998545834E-4	0.005338411626650865	0.13527419879121697	-0.11179427164272161	-21762.90990717092	-934.7322331602379	-354.09965045402515
290000	-23073.429507025183	-1297.7473363555403	-21775.682170669643	4.92468028254653	0.05531971745347075	113.59614309915925	76.80582685148494	0.9853398674822598	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8154945363445599	0.004832281083996041	1.8377497647062226E-4	0.00482270854377839	0.03955103902501507	-0.03845779827617246	-21775.682170669643	-934.7322331602379	-360.0348564293416
295000	-23081.29463852762	-1308.3560517978638	-21772.938586729757	5.205496688759395	-0.225496688759395	123.60225192828962	71.38369018128185	0.6695821491688081	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8060969525440856	0.0042591972546949805	2.3745822192196667E-5	0.0042582336747810125	0.005653050139677341	0.044690157220928256	-21772.938586729757	-934.7322331602379	-371.16063690110076
300000	-23060.789563216036	-1305.063026728438	-21755.726536487597	4.630307316397565	0.3496926836024352	116.75094724298442	54.475648110178234	0.6077016463879987	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0087966603940164	0.004705571639443022	1.2115415350159632E-4	0.004719365125363988	0.02498751908672601	0.11096187924170796	-21755.726536487597	-934.7322331602379	-367.5916013845577
305000	-23056.965356140845	-1308.6075902471352	-21748.35776589371	4.919408697334836	0.06059130266516455	125.65073479255486	89.4045447731064	0.8575712653737673	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0270059001930132	0.004452644804530638	5.699858515489827E-4	0.0044440654465618115	0.12966355624223214	0.016759038170503587	-21748.35776589371	-934.7322331602379	-370.55349925073835
310000	-23047.35507565033	-1294.0479815848053	-21753.307094065523	4.397001036264002	0.5829989637359985	108.53785171085865	86.23221266099465	1.0605108832726993	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9239404366830241	0.004869401928838417	7.425606411772438E-4	0.004927901435089038	0.15432029618760568	0.034159776416995434	-21753.307094065523	-934.7322331602379	-355.94131116093104
315000	-23057.985556618656	-1285.8595620238834	-21772.12599459477	4.258719057847145	0.7212809421528554	100.03253352017529	71.52719866722828	1.0726446547636954	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7544627294418842	0.0053580958946757885	8.931445183374741E-5	0.005370803121930867	0.017373910018991592	0.12141456857637177	-21772.12599459477	-934.7322331602379	-348.13263311195993
320000	-23030.48416525162	-1279.965387909934	-21750.518777341684	4.045333526107376	0.9346664738926247	93.65437118037434	57.058289515761714	1.0814307119477822	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8891780989466831	0.005748151139325941	3.941991997204488E-4	0.005817204193870556	0.06440263989089035	-0.015739018018522795	-21750.518777341684	-934.7322331602379	-342.03358408664957
325000	-23035.42838768116	-1285.262298251283	-21750.166089429877	3.8895386487421546	1.0904613512578458	95.90491584507812	93.57162475594016	1.2100126443604002	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.108240683573023	0.005723276030134316	3.934323704741393E-4	0.005741868828100703	0.07153700598484851	-0.14554393465099452	-21750.166089429877	-934.7322331602379	-346.40214696145046
330000	-23051.01927917499	-1282.4526932719468	-21768.566585903045	3.9010015447910638	1.0789984552089367	94.82800718116293	80.61324525122852	1.2876676987623312	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9406398224175593	0.00561715778834643	2.85053985619888E-4	0.0056746799323527655	0.05070947117660726	0.1546854984613758	-21768.566585903045	-934.7322331602379	-343.9999355716385
335000	-23020.205662802833	-1273.4134461492904	-21746.792216653543	3.7201480120416743	1.259851987958326	86.84307226637026	56.64042975725535	1.175730628351749	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2431311882683758	0.0061984425324272405	6.719115605808625E-4	0.006263276430839818	0.1017809652334774	-0.052215107446900146	-21746.792216653543	-934.7322331602379	-334.60736529178837
340000	-23037.742236636113	-1269.3681072709242	-21768.37412936519	3.2806426813485685	1.699357318651432	82.78108454359776	54.461821742441636	1.1644512700584548	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0937568989620632	0.006456081321768243	2.698001883652633E-4	0.006476341733644696	0.03954346956697368	-0.07490394422076818	-21768.37412936519	-934.7322331602379	-330.8545833405312
345000	-23044.255714843428	-1282.9455853358152	-21761.310129507612	4.084297006619696	0.8957029933803042	95.38016263846119	54.792659653659655	1.0973167544932687	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9719666599966443	0.005713143391693617	4.1125199047830453E-4	0.005747779799208476	0.07476321200731564	-0.03026546225229482	-21761.310129507612	-934.7322331602379	-344.86052662166867
350000	-23040.300074830575	-1283.6007605183306	-21756.699314312245	4.201165502431847	0.7788344975681536	97.2528015741083	70.82075169626832	1.1337369698031856	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.993449391666413	0.005730535371004633	7.645151460076735E-4	0.005762671501470638	0.12950590731966757	0.038824327311560256	-21756.699314312245	-934.7322331602379	-345.27078713781174
355000	-23047.589137476945	-1296.1145834092558	-21751.47455406769	4.416134124097502	0.5638658759024988	110.67911907269067	86.21494742801421	1.0886956192108508	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7958087416433504	0.004874981728019145	2.1051503225983287E-4	0.004898342514992793	0.044957551008077	0.01649461118704964	-21751.47455406769	-934.7322331602379	-358.2359116629056
