PathParameter	MaxPathLikelihood	MLContribution
0.0000	-61437	-0.014551
2.1544e-07	-62256	-0.13256
2.1715e-06	-61629	-0.41987
8.3895e-06	-61148	-0.91126
2.1888e-05	-61081	-1.6300
4.6050e-05	-61470	-2.5909
8.4561e-05	-61360	-3.8123
0.00014136	-61443	-5.2930
0.00022061	-61509	-7.0241
0.00032669	-60872	-9.0576
0.00046416	-59469	-11.338
0.00063774	-60009	-13.882
0.00085232	-58667	-16.642
0.0011130	-58310	-19.729
0.0014248	-58821	-23.084
0.0017932	-57334	-26.512
0.0022237	-55774	-30.233
0.0027216	-55306	-34.093
0.0032929	-54314	-38.065
0.0039432	-53070	-42.008
0.0046784	-51174	-45.891
0.0055047	-49634	-49.324
0.0064280	-46989	-51.949
0.0074546	-44520	-54.092
0.0085909	-40795	-54.651
0.0098431	-37335	-55.601
0.011218	-34373	-55.890
0.012722	-33932	-58.954
0.014361	-32222	-61.579
0.016143	-31783	-64.542
0.018075	-31346	-68.347
0.020162	-31222	-72.534
0.022413	-30748	-76.558
0.024834	-30417	-81.392
0.027432	-30229	-86.272
0.030215	-30173	-91.464
0.033190	-29835	-96.838
0.036364	-29765	-102.39
0.039745	-29676	-108.38
0.043339	-29595	-114.62
0.047156	-29461	-120.98
0.051201	-29361	-127.59
0.055484	-29291	-134.41
0.060011	-29318	-141.59
0.064790	-29282	-148.89
0.069830	-29252	-156.56
0.075138	-29151	-164.41
0.080722	-29138	-172.41
0.086591	-29117	-180.75
0.092751	-29087	-189.25
0.099213	-29055	-197.99
0.10598	-29029	-207.00
0.11307	-28998	-216.21
0.12048	-28974	-225.74
0.12823	-28981	-235.53
0.13631	-28949	-245.53
0.14475	-28917	-255.72
0.15355	-28887	-266.08
0.16271	-28886	-276.78
0.17226	-28866	-287.74
0.18218	-28847	-298.94
0.19250	-28828	-310.38
0.20322	-28795	-322.05
0.21436	-28809	-333.97
0.22591	-28776	-346.11
0.23789	-28777	-358.67
0.25031	-28776	-371.40
0.26318	-28754	-384.33
0.27650	-28760	-397.55
0.29029	-28724	-410.97
0.30455	-28734	-424.73
0.31930	-28709	-438.65
0.33454	-28723	-453.01
0.35028	-28698	-467.56
0.36653	-28695	-482.36
0.38330	-28686	-497.42
0.40060	-28674	-512.74
0.41844	-28670	-528.23
0.43683	-28656	-544.19
0.45578	-28651	-560.39
0.47530	-28652	-576.83
0.49539	-28652	-593.53
0.51608	-28639	-610.47
0.53735	-28638	-627.67
0.55924	-28626	-645.24
0.58174	-28618	-663.01
0.60487	-28621	-681.14
0.62863	-28616	-699.48
0.65304	-28613	-718.15
0.67811	-28610	-737.19
0.70384	-28602	-756.36
0.73025	-28602	-775.88
0.75734	-28591	-795.61
0.78513	-28582	-815.69
0.81363	-28577	-836.14
0.84284	-28576	-856.79
0.87278	-28567	-877.64
0.90345	-28565	-898.92
0.93488	-28563	-920.33
0.96705	-28564	-942.39
1.0000	-28546	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -29161.03375278267
