PathParameter	MaxPathLikelihood	MLContribution
0.0000	-76747	-0.019403
2.1544e-07	-75721	-0.17532
2.1715e-06	-76956	-0.55809
8.3895e-06	-77219	-1.2014
2.1888e-05	-76480	-2.1422
4.6050e-05	-77705	-3.3772
8.4561e-05	-75382	-4.9096
0.00014136	-75049	-6.7334
0.00022061	-73952	-8.8382
0.00032669	-73729	-11.252
0.00046416	-72584	-13.981
0.00063774	-72550	-16.967
0.00085232	-69002	-20.079
0.0011130	-69047	-23.537
0.0014248	-65555	-26.591
0.0017932	-63097	-29.447
0.0022237	-60397	-33.160
0.0027216	-60382	-37.086
0.0032929	-55094	-39.685
0.0039432	-55700	-43.807
0.0046784	-53575	-46.868
0.0055047	-51700	-50.226
0.0064280	-47345	-51.903
0.0074546	-44541	-54.532
0.0085909	-42847	-56.945
0.0098431	-40996	-59.395
0.011218	-39155	-62.524
0.012722	-38425	-65.872
0.014361	-37203	-69.448
0.016143	-36055	-72.878
0.018075	-35973	-77.779
0.020162	-35363	-82.093
0.022413	-34852	-86.713
0.024834	-34457	-92.098
0.027432	-34006	-97.753
0.030215	-33832	-103.49
0.033190	-33540	-109.50
0.036364	-33632	-115.92
0.039745	-33495	-122.55
0.043339	-33435	-129.46
0.047156	-33238	-136.50
0.051201	-33148	-143.84
0.055484	-33115	-151.64
0.060011	-33047	-159.52
0.064790	-32968	-167.78
0.069830	-32747	-176.09
0.075138	-32837	-184.83
0.080722	-32749	-193.77
0.086591	-32691	-203.07
0.092751	-32634	-212.39
0.099213	-32573	-222.23
0.10598	-32531	-232.27
0.11307	-32532	-242.60
0.12048	-32489	-253.13
0.12823	-32464	-263.99
0.13631	-32407	-275.08
0.14475	-32412	-286.53
0.15355	-32382	-298.17
0.16271	-32347	-310.03
0.17226	-32344	-322.37
0.18218	-32330	-334.80
0.19250	-32276	-347.54
0.20322	-32259	-360.70
0.21436	-32265	-374.05
0.22591	-32234	-387.55
0.23789	-32223	-401.47
0.25031	-32212	-415.66
0.26318	-32173	-430.16
0.27650	-32193	-445.13
0.29029	-32168	-460.03
0.30455	-32165	-475.51
0.31930	-32157	-491.15
0.33454	-32141	-507.18
0.35028	-32131	-523.45
0.36653	-32126	-539.98
0.38330	-32112	-556.75
0.40060	-32105	-574.00
0.41844	-32098	-591.52
0.43683	-32095	-609.21
0.45578	-32087	-627.45
0.47530	-32071	-645.74
0.49539	-32083	-664.42
0.51608	-32072	-683.48
0.53735	-32067	-702.79
0.55924	-32064	-722.47
0.58174	-32056	-742.46
0.60487	-32050	-762.69
0.62863	-32054	-783.31
0.65304	-32038	-804.18
0.67811	-32039	-825.40
0.70384	-32042	-847.03
0.73025	-32034	-868.87
0.75734	-32024	-891.05
0.78513	-32024	-913.53
0.81363	-32014	-936.33
0.84284	-32007	-959.44
0.87278	-32013	-983.03
0.90345	-32017	-1006.9
0.93488	-31992	-1030.9
0.96705	-31970	-1054.9
1.0000	-31980	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -32649.48324768509
