PathParameter	MaxPathLikelihood	MLContribution
0.0000	-57123	-0.013449
2.1544e-07	-56092	-0.12187
2.1715e-06	-57715	-0.38775
8.3895e-06	-56534	-0.84031
2.1888e-05	-57381	-1.5030
4.6050e-05	-56767	-2.3870
8.4561e-05	-56695	-3.5070
0.00014136	-56751	-4.8849
0.00022061	-56368	-6.4959
0.00032669	-55382	-8.3524
0.00046416	-56095	-10.473
0.00063774	-55057	-12.840
0.00085232	-54556	-15.385
0.0011130	-54344	-18.246
0.0014248	-54042	-21.288
0.0017932	-53868	-24.580
0.0022237	-52663	-27.952
0.0027216	-51736	-31.487
0.0032929	-49736	-35.066
0.0039432	-49247	-38.904
0.0046784	-48257	-42.369
0.0055047	-46741	-45.889
0.0064280	-44483	-48.498
0.0074546	-40945	-50.774
0.0085909	-39902	-53.248
0.0098431	-37122	-54.247
0.011218	-33181	-53.874
0.012722	-32967	-56.949
0.014361	-30314	-57.516
0.016143	-29459	-59.981
0.018075	-28405	-62.684
0.020162	-27857	-65.573
0.022413	-27547	-69.457
0.024834	-26913	-72.914
0.027432	-26905	-77.306
0.030215	-26771	-81.945
0.033190	-26512	-86.584
0.036364	-26558	-91.540
0.039745	-26312	-96.457
0.043339	-26285	-101.97
0.047156	-26149	-107.74
0.051201	-26152	-113.46
0.055484	-25990	-119.30
0.060011	-25994	-125.77
0.064790	-25834	-132.07
0.069830	-25893	-138.76
0.075138	-25822	-145.63
0.080722	-25801	-152.82
0.086591	-25753	-160.08
0.092751	-25726	-167.57
0.099213	-25657	-175.29
0.10598	-25674	-183.21
0.11307	-25614	-191.36
0.12048	-25634	-199.71
0.12823	-25620	-208.34
0.13631	-25581	-217.10
0.14475	-25562	-226.07
0.15355	-25571	-235.39
0.16271	-25546	-244.82
0.17226	-25539	-254.56
0.18218	-25529	-264.43
0.19250	-25487	-274.61
0.20322	-25507	-284.93
0.21436	-25481	-295.52
0.22591	-25475	-306.33
0.23789	-25468	-317.40
0.25031	-25461	-328.68
0.26318	-25457	-340.18
0.27650	-25446	-351.93
0.29029	-25435	-363.86
0.30455	-25434	-376.11
0.31930	-25445	-388.55
0.33454	-25429	-401.22
0.35028	-25421	-414.15
0.36653	-25425	-427.22
0.38330	-25424	-440.67
0.40060	-25424	-454.31
0.41844	-25413	-468.20
0.43683	-25411	-482.33
0.45578	-25406	-496.63
0.47530	-25401	-511.24
0.49539	-25396	-526.06
0.51608	-25392	-541.19
0.53735	-25386	-556.52
0.55924	-25389	-572.15
0.58174	-25389	-587.98
0.60487	-25380	-604.04
0.62863	-25381	-620.36
0.65304	-25376	-636.95
0.67811	-25374	-653.82
0.70384	-25368	-670.81
0.73025	-25359	-688.18
0.75734	-25361	-705.69
0.78513	-25360	-723.52
0.81363	-25356	-741.65
0.84284	-25347	-760.01
0.87278	-25347	-778.62
0.90345	-25333	-797.39
0.93488	-25311	-816.41
0.96705	-25296	-835.80
1.0000	-19898	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -25899.21254105448
