# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 17:37:36 AEST 2019 [seed=1557733054589]
# -overwrite GSS_ucld_random_het_clock_sim_9.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-63578.420432543004	-1104.5411234888347	-62473.879309054166	2.775845540913383	2.224154459086617	17.143788051098902	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.23808905652368684	1.1835807163992178	-0.04914444450056155	-62473.879309054166	-996.9345737104924	-99.34564505351027
5000	-42892.73078272593	-1333.709299247849	-41559.02148347808	2.4758278229422386	2.5241721770577614	70.2910050116782	52.69672139513486	1.5755409458466096	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.26911241083445997	0.04753842848602772	0.04727438447274313	0.03534328365954472	0.7892307815336757	0.042375339301702994	-41559.02148347808	-996.9345737104924	-330.22115300399116
10000	-37192.96322706663	-1355.8953135430509	-35837.067913523584	3.0315042293095975	1.9684957706904025	94.15675878418189	135.3155911641606	1.7773717849544952	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3023081478823087	0.0196123879185961	0.01887558603939943	0.014986541301014834	0.7530816622705149	0.02183410752236733	-35837.067913523584	-996.9345737104924	-353.4816848212452
15000	-34226.670909968445	-1373.268909951342	-32853.4020000171	3.4800823127082277	1.5199176872917723	108.68390002949863	198.84069937933492	1.8844832400965126	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3234553138286248	0.014032669213127655	0.012798568337307178	0.010757291615474573	0.720010554493431	-0.024175582916472954	-32853.4020000171	-996.9345737104924	-370.64949702710766
20000	-31775.395175494366	-1372.5122995650997	-30402.882875929266	3.5923971349954487	1.4076028650045513	112.02853583704636	163.6612100082199	1.6303641317788855	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4070388736676678	0.009397792596390125	0.0062858205709171305	0.008554025532938537	0.5734476644911156	0.05476403856334147	-30402.882875929266	-996.9345737104924	-371.03908766406886
25000	-30184.694568421637	-1382.5519686296639	-28802.142599791972	4.517514015672798	0.4824859843272016	121.40023798184079	153.22683054343273	1.3685022900507255	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.46833421855453267	0.008221501488856068	0.00553020194838519	0.007062132248342086	0.6128647371982073	0.048744390842004194	-28802.142599791972	-996.9345737104924	-381.48639783450926
30000	-29145.779423996948	-1391.761447646365	-27754.017976350584	4.585912396270218	0.41408760372978204	130.87519092939297	181.36662452024282	1.2740302073004612	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5658145911698598	0.0065980592832586915	0.0034848086934705386	0.0062027818896781585	0.514733909708991	0.05337025489310278	-27754.017976350584	-996.9345737104924	-390.60226069087537
35000	-27629.325732244557	-1384.5048635565513	-26244.820868688006	4.75125242196136	0.2487475780386399	120.16007996624151	126.11317591133054	1.3385816766843146	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6662579923645546	0.006696007787083836	0.0034088560277665773	0.006288076452732198	0.485020465208161	0.18236743241423808	-26244.820868688006	-996.9345737104924	-383.64185250424623
40000	-27164.467502845273	-1376.3337008499	-25788.133801995373	3.9655492809806074	1.0344507190193926	110.36028287288536	120.58891477130169	1.3313467356253639	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8114930331727537	0.006678080813225962	0.003178978348134351	0.00629658536142849	0.4855061488592423	0.04345755978074989	-25788.133801995373	-996.9345737104924	-375.26978800117547
45000	-26639.160717021736	-1382.9830304419006	-25256.177686579835	4.447758268236335	0.5522417317636652	117.23543888015	97.00978795986673	1.1346039752550239	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9659131553874638	0.0065902134986363815	0.0037239292866074088	0.006073754746546845	0.5360078988536002	-0.03500855542137373	-25256.177686579835	-996.9345737104924	-382.0424042381526
