PathParameter	MaxPathLikelihood	MLContribution
0.0000	-60759	-0.014341
2.1544e-07	-60598	-0.12991
2.1715e-06	-59717	-0.41342
8.3895e-06	-60395	-0.89819
2.1888e-05	-60044	-1.6018
4.6050e-05	-60258	-2.5485
8.4561e-05	-59945	-3.7452
0.00014136	-59583	-5.2047
0.00022061	-59990	-6.9254
0.00032669	-59677	-8.9005
0.00046416	-60150	-11.164
0.00063774	-59412	-13.701
0.00085232	-58433	-16.395
0.0011130	-58836	-19.512
0.0014248	-57530	-22.700
0.0017932	-57312	-26.132
0.0022237	-56715	-29.885
0.0027216	-55495	-33.611
0.0032929	-54627	-37.835
0.0039432	-53281	-41.812
0.0046784	-52415	-45.961
0.0055047	-50777	-50.175
0.0064280	-48662	-53.784
0.0074546	-46190	-56.385
0.0085909	-44208	-58.694
0.0098431	-40185	-59.285
0.011218	-37804	-60.264
0.012722	-34568	-60.774
0.014361	-33985	-63.501
0.016143	-32145	-65.594
0.018075	-31111	-68.303
0.020162	-30333	-71.267
0.022413	-29958	-75.227
0.024834	-29785	-79.535
0.027432	-29561	-84.210
0.030215	-29244	-88.759
0.033190	-28854	-94.084
0.036364	-28841	-99.270
0.039745	-28763	-105.09
0.043339	-28624	-111.00
0.047156	-28500	-117.01
0.051201	-28437	-123.51
0.055484	-28314	-129.96
0.060011	-28306	-136.89
0.064790	-28255	-143.96
0.069830	-28142	-151.27
0.075138	-28170	-158.68
0.080722	-28157	-166.43
0.086591	-28067	-174.34
0.092751	-28017	-182.57
0.099213	-28033	-191.03
0.10598	-27985	-199.61
0.11307	-27884	-208.55
0.12048	-27909	-217.63
0.12823	-27888	-226.95
0.13631	-27866	-236.56
0.14475	-27864	-246.40
0.15355	-27856	-256.41
0.16271	-27804	-266.73
0.17226	-27801	-277.31
0.18218	-27803	-288.10
0.19250	-27775	-299.11
0.20322	-27781	-310.45
0.21436	-27768	-321.92
0.22591	-27759	-333.72
0.23789	-27745	-345.74
0.25031	-27749	-357.99
0.26318	-27731	-370.51
0.27650	-27734	-383.33
0.29029	-27721	-396.37
0.30455	-27710	-409.61
0.31930	-27718	-423.19
0.33454	-27696	-436.96
0.35028	-27686	-450.97
0.36653	-27688	-465.35
0.38330	-27682	-479.87
0.40060	-27671	-494.69
0.41844	-27664	-509.78
0.43683	-27652	-525.17
0.45578	-27658	-540.78
0.47530	-27655	-556.66
0.49539	-27648	-572.85
0.51608	-27646	-589.21
0.53735	-27632	-605.88
0.55924	-27635	-622.76
0.58174	-27632	-640.06
0.60487	-27631	-657.53
0.62863	-27622	-675.26
0.65304	-27623	-693.33
0.67811	-27618	-711.60
0.70384	-27611	-730.08
0.73025	-27606	-748.93
0.75734	-27597	-768.03
0.78513	-27598	-787.42
0.81363	-27580	-807.13
0.84284	-27586	-826.97
0.87278	-27570	-847.22
0.90345	-27571	-867.64
0.93488	-27565	-888.46
0.96705	-27538	-909.23
1.0000	1.0325e+05	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -28195.95357920729
