# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 19:58:21 AEST 2019 [seed=1557741499716]
# -overwrite GSS_ucld_random_het_rel0.5_sim_9.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-67243.49494352924	-1025.7256162571198	-66217.76932727212	1.6278034943216275	3.3721965056783727	13.26631378065645	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.2576856921899634	1.225219336313956	0.01802591248024486	-66217.76932727212	-922.3574719519911	-95.9484042122009
5000	-43882.810994720916	-1241.0169077040193	-42641.7940870169	2.674793791084178	2.325206208915822	73.27579136975764	80.9261846543933	1.814549197926236	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.25883034884455114	0.05490058446223112	0.062143011281937735	0.03932141271956983	1.152860539846596	0.05064144303955778	-42641.7940870169	-922.3574719519911	-310.82795914821526
10000	-38362.42419462475	-1257.3124851514522	-37105.1117094733	3.4165371315151667	1.5834628684848333	87.27562302329486	67.24634673353604	1.4217489990357948	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.34335570173485125	0.026883122325006576	0.03293078246955271	0.01763406875903936	1.1929216303792922	-0.05656743539834734	-37105.1117094733	-922.3574719519911	-329.6927967941198
15000	-34712.24285431209	-1258.8705333901507	-33453.37232092194	3.200035320478369	1.799964679521631	88.8944580691011	111.83686907635183	1.7420721985753138	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3911439554484909	0.020422724528809392	0.022878801007981193	0.01381256418010546	1.0493026612191656	-0.12728628572603573	-33453.37232092194	-922.3574719519911	-331.0965847915164
20000	-32495.38120523693	-1262.2226747876803	-31233.158530449247	3.2833089008948755	1.7166910991051245	90.54848234490561	112.15831367207048	1.545313455047697	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.46928671495804103	0.01668999557637781	0.02090144637230018	0.011034433397724757	1.1849592050963735	-0.04684128347650892	-31233.158530449247	-922.3574719519911	-334.9062674799367
25000	-30531.571101385445	-1281.846344122668	-29249.72475726278	3.7475335182805973	1.2524664817194027	115.79523121084857	129.9375809772408	1.2927666061065308	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5497730995104396	0.010793402493549027	0.009976776941562727	0.007975341747906992	0.882332554854609	-0.11131359846347524	-29249.72475726278	-922.3574719519911	-355.07882764481593
30000	-29568.497742148425	-1297.7909705877232	-28270.7067715607	4.5890176316068185	0.4109823683931815	137.94929239346965	170.39386132116687	1.1380426572869726	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7302901917341699	0.007969605613600212	0.007149927946934695	0.0060115603693351154	0.8508440458172498	-0.1486760393057271	-28270.7067715607	-922.3574719519911	-370.81066612387764
35000	-29571.33368907535	-1309.604648270244	-28261.729040805105	5.1344793398730095	-0.13447933987300953	155.0280068770156	125.25717335685269	0.855660997223116	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6965066098265874	0.007078386394856137	0.006529514183158733	0.005545415515411917	0.7520259344686598	-0.05321081569293536	-28261.729040805105	-922.3574719519911	-383.5472283991794
40000	-29531.99006323045	-1314.625737414245	-28217.364325816205	5.12168564430342	-0.12168564430341977	162.14037771966483	131.84487985344688	0.7351770503390194	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6420801390334082	0.006504367551656521	0.005889576012031482	0.005247456322294266	0.7599342796267833	-0.09512255318490333	-28217.364325816205	-922.3574719519911	-388.84113909831416
45000	-29210.71431324324	-1312.2230219437652	-27898.491291299473	5.161260913592199	-0.16126091359219874	160.45913207945375	133.71807588435954	0.8209644053866108	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7418047821885885	0.0064047659678917205	0.004817714359976865	0.005282616100522551	0.6895280643263059	-0.07395228527112604	-27898.491291299473	-922.3574719519911	-386.16709217378786
50000	-28558.057547420358	-1327.2380729778165	-27230.819474442542	6.335714407048178	-1.3357144070481777	188.42588061305287	210.4190867364649	0.8292184801347802	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9167678382497976	0.004776744143060945	0.002980364903924496	0.004117630636150022	0.5772004895563139	-0.028353388329555133	-27230.819474442542	-922.3574719519911	-400.4170802599841
55000	-28472.254525596294	-1334.2333335885182	-27138.021192007775	6.901374655436901	-1.9013746554369009	204.24619791755694	232.10340072250676	0.7460614336296945	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7666847536477559	0.0047200984216886205	0.0037310315458289767	0.003951257770426704	0.654981951991675	0.03160339371181042	-27138.021192007775	-922.3574719519911	-407.55884447021367
60000	-28487.60168838164	-1346.6970337960186	-27140.90465458562	8.372777388337221	-3.372777388337221	234.7913973209437	204.77953909204524	0.5656723259377998	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7817860628960899	0.00412768207087363	0.003061958008871775	0.003392539901426482	0.622402281433527	-0.06797056642971962	-27140.90465458562	-922.3574719519911	-420.57963740621943
65000	-28498.91644039592	-1357.428298989672	-27141.488141406247	9.506661360891972	-4.506661360891972	262.2569024277089	228.6619932344612	0.52063298415469	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8422035375120441	0.0036512029380929016	0.0031211982751577863	0.0030403605031847757	0.6484210281129035	-0.12987868832848173	-27141.488141406247	-922.3574719519911	-431.1243390187007
70000	-28311.046774420178	-1353.037644744428	-26958.00912967575	8.681373449355199	-3.681373449355199	247.52963402461725	190.94494731664284	0.49921730184677093	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8006643515040028	0.003911818132551954	0.0029690804263698208	0.0033209200131708552	0.6329402745713785	-0.05181002233939089	-26958.00912967575	-922.3574719519911	-427.14169798508044
75000	-27980.809734794544	-1357.450359227434	-26623.35937556711	11.89376734657309	-6.893767346573091	263.76592544487926	181.21272079823999	0.4599380180598214	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.868246702210483	0.003384936035354257	0.002588276745161385	0.002910393660332743	0.6515316188584805	-0.026428389922989542	-26623.35937556711	-922.3574719519911	-431.7365513551214
80000	-27979.64521252056	-1371.6983239696544	-26607.94688855091	12.856418224229373	-7.8564182242293725	311.04220958175915	273.4574831632922	0.43978874650289757	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9610475503111887	0.0029441489672698013	0.002412937507961869	0.0024645257116431216	0.6979059869901675	-0.10167449103537496	-26607.94688855091	-922.3574719519911	-445.02640913812877
85000	-27968.809863438844	-1364.6685770438999	-26604.141286394944	10.753662287467831	-5.753662287467831	290.5174696832475	282.31574109067947	0.5034668399482221	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0168765673615185	0.0030878636690025146	0.002486354487040266	0.002667579314421464	0.7292973197184158	-0.02302372977592129	-26604.141286394944	-922.3574719519911	-437.69323721655036
90000	-27959.32331877712	-1367.168201545222	-26592.155117231898	11.2861917423548	-6.2861917423548	284.34896841978986	394.4272040896777	0.5735554099512439	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7364674966888405	0.0028904435227888607	0.0023117307888366437	0.0026676733453811865	0.716296065933306	0.1976267914294966	-26592.155117231898	-922.3574719519911	-439.6604882656403
95000	-27973.88178178163	-1381.4328244848289	-26592.4489572968	12.824974606979913	-7.824974606979913	338.1181406458607	387.7045779736464	0.4611255068052533	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0295378004261306	0.0024165453268914314	0.0021890647355368824	0.002218269057258257	0.7585348626291996	0.07480813433931335	-26592.4489572968	-922.3574719519911	-453.69994363456664
100000	-27982.26395885419	-1381.6338354454056	-26600.630123408784	12.34960013038319	-7.349600130383189	343.7919407899789	266.79412668797085	0.3755913847812127	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8920611307707323	0.0024115396326444614	0.001732523005129972	0.002255743132608396	0.6260211503033476	-0.017849852721051968	-26600.630123408784	-922.3574719519911	-455.46928354778805
105000	-27981.087863033157	-1384.340499790159	-26596.747363242997	12.624074703737534	-7.624074703737534	350.6695771338764	277.8626910892907	0.4319208071296543	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9083816538345415	0.002329895640800335	0.0018089349261446181	0.002187774832794075	0.7261216428044887	0.05923824162464694	-26596.747363242997	-922.3574719519911	-458.0152317514234
110000	-27960.795989310856	-1380.8878449088857	-26579.908144401972	12.437077700846206	-7.437077700846206	338.6605108584232	336.54815380235794	0.43773859569100226	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0227177390140298	0.002264755070322091	0.001687936446591477	0.0022143417650250883	0.6413184823780764	0.01945600613103115	-26579.908144401972	-922.3574719519911	-453.7883909991555
115000	-27964.347720103426	-1384.2296876152975	-26580.118032488128	12.388258210970685	-7.388258210970685	344.08164966021474	379.7970044860673	0.4485261840259611	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0667832644323294	0.0024302053066926742	0.0017875747020723069	0.002270407389335696	0.625540657064444	-0.05622469585047037	-26580.118032488128	-922.3574719519911	-456.5020075501355
120000	-27965.96685493331	-1388.7886170018287	-26577.178237931483	13.241289125289954	-8.241289125289954	367.62762768761735	257.9450781877882	0.33775010572205866	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9414409998443586	0.0021402694029992076	0.001601895554838719	0.0020409745251026503	0.6332857734216258	-0.06365461354643455	-26577.178237931483	-922.3574719519911	-462.78745852901744
125000	-27976.437320127345	-1392.1556407239368	-26584.281679403408	14.577863131413888	-9.577863131413888	378.81099044101217	283.38698677438305	0.3179819148920502	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0113576298015694	0.0021887111389937712	0.0017170267251143162	0.00205952743748308	0.6910896760226427	-0.047817988114986935	-26584.281679403408	-922.3574719519911	-465.7411598770131
130000	-27971.413200616236	-1387.3722850878605	-26584.040915528374	13.328553301319364	-8.328553301319364	357.02581715544915	209.5662176083538	0.3176162893662893	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9344468415287884	0.0021455568710495128	0.0017716234929447128	0.00206340336752631	0.6623102952398124	0.005869667020825703	-26584.040915528374	-922.3574719519911	-461.8934662029493
135000	-27972.626563269147	-1377.5504465036681	-26595.07611676548	12.094049906891064	-7.094049906891064	323.3955558909147	211.80855431001868	0.34615240722741425	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8620932646081865	0.0024429763259066852	0.0020438333246930703	0.0023747243843430742	0.7537305974179669	-0.05074599129843843	-26595.07611676548	-922.3574719519911	-452.0261552362555
140000	-27979.15645006845	-1388.8037916687786	-26590.35265839967	13.48461042723691	-8.48461042723691	351.75699032074215	157.63098114593052	0.24630278281167883	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0407027530699415	0.0022928936012722822	0.001794378424841452	0.0022525606544006576	0.721266556101297	0.01951499215765784	-26590.35265839967	-922.3574719519911	-463.6218949118082
145000	-27966.89107980545	-1379.3070686622564	-26587.584011143193	13.009390178388673	-8.009390178388673	323.4149957513288	250.46042672112344	0.3433737543547164	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8855724010588256	0.002476305943865213	0.0017181531505512878	0.0023577564787299185	0.6084462280793161	-0.07110981103518824	-26587.584011143193	-922.3574719519911	-453.3354839521592
150000	-27979.22046043661	-1386.0393927223945	-26593.181067714213	15.098971762927105	-10.098971762927105	356.9539282490237	263.5944931163336	0.332876773458064	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.028898703998922	0.0023767836187013527	0.001832431614911866	0.002196090285962989	0.6542319246267835	-0.03580446205334508	-26593.181067714213	-922.3574719519911	-459.6822861968786
155000	-27948.899290986265	-1367.6843216980606	-26581.214969288205	12.010061992206216	-7.010061992206216	288.8133301077478	213.43447221025042	0.41990728462042304	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9575333904393654	0.0029084320315930314	0.0024309427175079564	0.0026469953060374645	0.654805519099217	0.03345417345296538	-26581.214969288205	-922.3574719519911	-441.6842822129498
160000	-27967.990651702363	-1369.4338366187553	-26598.556815083608	11.321875299805663	-6.321875299805663	288.20531625156735	249.30465912482214	0.42224123250270673	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.011883681152879	0.003003799341677365	0.0019656914637641745	0.0027912020199598146	0.5739601207649019	-0.018018429859349254	-26598.556815083608	-922.3574719519911	-442.922553863932
165000	-27960.041001275793	-1369.822491022218	-26590.218510253573	12.13270399758287	-7.132703997582871	299.1906909132634	207.18633372926877	0.40070641476165925	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9260625968512751	0.0028316459764757946	0.0020583610471413922	0.00262349912024333	0.6046148845500761	-0.03467936351663047	-26590.218510253573	-922.3574719519911	-443.99201321078596
170000	-27975.385059359203	-1391.261976505431	-26584.123082853774	15.133135540525977	-10.133135540525977	374.0250293703035	291.3157075392128	0.3708420210211898	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8789119263442585	0.002242281086704976	0.001756944449523789	0.002018549542420843	0.6751702189944153	0.00921507987286117	-26584.123082853774	-922.3574719519911	-464.9521108352545
175000	-27973.970398717753	-1386.3424699739282	-26587.627928743823	14.255900983012378	-9.255900983012378	359.2746700911034	322.4829052137633	0.36839090891529924	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9638515190673671	0.00249460662973425	0.001983983788388647	0.00222012948205351	0.7456527084276309	-0.044718943274292065	-26587.627928743823	-922.3574719519911	-459.42180696691514
180000	-27964.67352041457	-1380.5397071815778	-26584.13381323299	12.791159795879352	-7.791159795879352	341.3345053115807	275.9728773447801	0.40688928735128194	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8888097038758611	0.0024804748488941636	0.001938798710449849	0.002195510956664486	0.7078003917868462	-0.12398140926482672	-26584.13381323299	-922.3574719519911	-454.222670977316
185000	-27943.350568099246	-1363.498969456483	-26579.851598642763	12.150849782758062	-7.150849782758062	282.77871415096666	209.00750986555076	0.46257816968054866	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8824695541851165	0.0031336861106412983	0.0023874704886159386	0.002789535976401422	0.7622840263801456	-0.08387628008383803	-26579.851598642763	-922.3574719519911	-437.55678512676184
190000	-27960.55698640528	-1376.6993196012968	-26583.857666803986	15.368444074923177	-10.368444074923177	323.05872277328166	289.8931091034049	0.42924867548627255	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9355518347720018	0.002667901530081588	0.0018041283552316136	0.0023641392108366063	0.6254321987532642	-0.02496791839476278	-26583.857666803986	-922.3574719519911	-450.0484887123115
195000	-27966.232847184085	-1371.6736124391232	-26594.55923474496	12.883036542327858	-7.883036542327858	311.78121072811746	260.90668584659863	0.42577383388859125	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9056156540389331	0.0026528622220935456	0.0018660505478911005	0.0024017048931622947	0.6500592971139239	-0.03884382550078045	-26594.55923474496	-922.3574719519911	-445.39564381542294
200000	-27987.481229022753	-1379.2624344680378	-26608.218794554716	13.210620659820275	-8.210620659820275	334.81424775034856	274.8263719084686	0.41538372785039157	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9796824356754459	0.002501308968747906	0.001536553158001789	0.002279617132279163	0.6006455023576945	0.04174133486819793	-26608.218794554716	-922.3574719519911	-452.763202312464
205000	-27980.92699572275	-1375.1993382404228	-26605.72765748233	11.217776715346636	-6.217776715346636	309.82223334983036	346.18116684330846	0.43987188039702385	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0677117581487863	0.0026532139459266397	0.0018541291206931032	0.0024213752469074683	0.6330568713850091	-0.10244561405133189	-26605.72765748233	-922.3574719519911	-447.7322404535522
210000	-27953.751091442475	-1356.11170864215	-26597.639382800324	9.086963553655584	-4.086963553655584	257.14498685323787	179.89902957250484	0.44968164680224865	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9198562783026817	0.0031691948633789024	0.002174534489536786	0.0029496070360584795	0.59012756495385	-0.05209193157534997	-26597.639382800324	-922.3574719519911	-430.4174220691799
215000	-27979.459342662325	-1376.8593363600367	-26602.600006302288	11.323841469853665	-6.323841469853665	325.69336866493	245.49707728758034	0.41978193273451336	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8464906102140151	0.002584955379134473	0.0019067494311104853	0.002295144839850129	0.6549285329608788	-0.0331424933845135	-26602.600006302288	-922.3574719519911	-450.8795862604248
220000	-27957.4562702118	-1382.7123107393659	-26574.74395947243	12.397172191336862	-7.397172191336862	335.67120794112486	390.92868304338685	0.4263044121248303	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9987741539362733	0.002577019586822087	0.002305317553407672	0.0023250615600184333	0.7627090042029606	0.045076511269855866	-26574.74395947243	-922.3574719519911	-454.95945610634794
225000	-27961.251164756864	-1377.828919018974	-26583.42224573789	11.183780276505853	-6.183780276505853	327.3222343125876	352.22263288193204	0.44403686990769375	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8424621737461554	0.002521790791266956	0.0023120132749245067	0.0023055833688145387	0.8883685609238896	-0.053420869675525895	-26583.42224573789	-922.3574719519911	-450.7958279994878
230000	-27954.14868192508	-1371.5789462066757	-26582.569735718404	11.669204763115713	-6.669204763115713	304.2895173073953	290.9160652310121	0.5039718341079222	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8792268857555059	0.0028315503178450376	0.002663847011608852	0.0025943916410106475	0.8784449392675433	-0.013706476675312941	-26582.569735718404	-922.3574719519911	-444.893817790835
235000	-27967.529407031678	-1356.7872682337381	-26610.74213879794	10.378550628486273	-5.378550628486273	262.5137778632915	189.44556904498194	0.48951619954207803	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0660354382476023	0.0031889066769162926	0.0031288182911404397	0.0029180980474873466	0.8952877709282865	-0.03957627336603403	-26610.74213879794	-922.3574719519911	-430.6475026427387
240000	-27994.153892023845	-1387.8433882785007	-26606.310503745346	15.390429284229263	-10.390429284229263	372.0805199699532	334.36688430892406	0.3808067657696319	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9594722367490135	0.002296100040210958	0.0023269516922051134	0.0020427037241549954	0.9371336166624142	-0.034104439473526794	-26606.310503745346	-922.3574719519911	-460.90008520814564
245000	-27953.89910397491	-1380.2982140926558	-26573.600889882255	12.747376714706121	-7.747376714706121	336.1671592668119	210.86768522309512	0.3557209457215549	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9937676242816266	0.002591779747174196	0.0027675110862969703	0.0022809434064765106	0.9999157985407205	-0.05782218389573526	-26573.600889882255	-922.3574719519911	-454.4168219917318
250000	-27961.125844352435	-1371.406431318717	-26589.71941303372	11.469634077813966	-6.469634077813966	305.96169523780236	232.23640377496147	0.43400809405525775	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9701744787773755	0.0027737539337505906	0.002507512667977757	0.0026289280415959875	0.8406567142494051	-0.07271096167588946	-26589.71941303372	-922.3574719519911	-445.22263723371924
255000	-27951.60133172951	-1374.1965223614861	-26577.404809368025	11.954461528186792	-6.954461528186792	314.00538900145415	230.6556952329226	0.43695123147099624	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0477690925778482	0.0026520832084910104	0.002624221618293585	0.0024379520690545006	0.9805600577677882	-0.09988244379325013	-26577.404809368025	-922.3574719519911	-447.9213501056969
260000	-27970.690340563466	-1393.8573473202068	-26576.83299324326	17.517058743046782	-12.517058743046782	393.6545387934355	342.38221563738955	0.3428321048115319	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8530117799669984	0.002114310399247528	0.0019117297178916524	0.0019461819828134627	0.9203684811482702	-0.07977093304528407	-26576.83299324326	-922.3574719519911	-467.17748177842793
265000	-27992.549529123877	-1397.7848891692265	-26594.76463995465	17.274160394110737	-12.274160394110737	399.27559132064675	403.6939712017779	0.40082120992992554	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8917793652145338	0.002016656733566892	0.0017299713714804576	0.0019213339933822039	0.82325031864461	-0.03349860631552811	-26594.76463995465	-922.3574719519911	-470.41476605304996
270000	-27967.83381941183	-1381.6314714313667	-26586.202347980463	13.419820327537117	-8.419820327537117	339.4907203811694	370.1086067876496	0.4286086221926255	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8485914172309301	0.002260804063511904	0.002134949819327581	0.0021487019328455172	0.8872421659054585	-0.10242642987238339	-26586.202347980463	-922.3574719519911	-454.5540129460356
275000	-27969.16980250566	-1381.6977531045773	-26587.472049401083	12.772057210821647	-7.772057210821647	342.04817389492	298.94436080370417	0.44649626210126736	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0733801428039362	0.0023687236767258864	0.002264365341871554	0.00219704342229405	0.9076280441086245	-0.07004559710191072	-26587.472049401083	-922.3574719519911	-454.80182524669874
280000	-27963.558899062493	-1382.394270958232	-26581.16462810426	12.954377773176601	-7.954377773176601	343.4864161670184	366.5875970251074	0.4223909781943693	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0051232940178831	0.0023334783514107373	0.0020936548137057004	0.0022305668140446223	0.8445637735204669	-0.09597417173273742	-26581.16462810426	-922.3574719519911	-455.00133496667377
285000	-27985.475379310163	-1388.373667071401	-26597.10171223876	14.493576503387041	-9.493576503387041	373.59700985728307	368.3557283368821	0.40260650645649876	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9469258676574299	0.0023161078883919117	0.0021297078097860128	0.0021307006809836685	0.8877256468862211	-0.0717019058197955	-26597.10171223876	-922.3574719519911	-461.08109906857175
