PathParameter	MaxPathLikelihood	MLContribution
0.0000	-75786	-0.019867
2.1544e-07	-75916	-0.17946
2.1715e-06	-76870	-0.56459
8.3895e-06	-76316	-1.2162
2.1888e-05	-76648	-2.1617
4.6050e-05	-75955	-3.3789
8.4561e-05	-75722	-4.8759
0.00014136	-75090	-6.6748
0.00022061	-76071	-8.7901
0.00032669	-76055	-11.178
0.00046416	-74436	-13.885
0.00063774	-73372	-16.996
0.00085232	-71822	-20.329
0.0011130	-72539	-24.066
0.0014248	-71128	-28.085
0.0017932	-71423	-32.442
0.0022237	-68120	-36.629
0.0027216	-67214	-41.428
0.0032929	-66954	-46.148
0.0039432	-64513	-50.343
0.0046784	-62736	-54.638
0.0055047	-60907	-60.057
0.0064280	-57321	-62.561
0.0074546	-53282	-64.293
0.0085909	-50696	-67.473
0.0098431	-45837	-67.627
0.011218	-45489	-72.153
0.012722	-43139	-73.926
0.014361	-42004	-77.578
0.016143	-40850	-81.564
0.018075	-39782	-86.302
0.020162	-39640	-91.908
0.022413	-39466	-97.825
0.024834	-38875	-103.62
0.027432	-38738	-110.24
0.030215	-38275	-116.29
0.033190	-38162	-123.43
0.036364	-37956	-130.58
0.039745	-37695	-137.95
0.043339	-37657	-145.70
0.047156	-37545	-153.72
0.051201	-37405	-162.06
0.055484	-37250	-170.52
0.060011	-37226	-179.51
0.064790	-37013	-188.88
0.069830	-37007	-198.23
0.075138	-36885	-207.98
0.080722	-36827	-217.90
0.086591	-36784	-228.38
0.092751	-36725	-238.98
0.099213	-36714	-250.14
0.10598	-36639	-261.27
0.11307	-36632	-273.07
0.12048	-36536	-284.81
0.12823	-36535	-296.89
0.13631	-36501	-309.51
0.14475	-36461	-322.36
0.15355	-36444	-335.54
0.16271	-36406	-348.91
0.17226	-36406	-362.75
0.18218	-36390	-376.84
0.19250	-36351	-391.23
0.20322	-36349	-406.00
0.21436	-36326	-421.01
0.22591	-36306	-436.39
0.23789	-36285	-452.16
0.25031	-36270	-468.04
0.26318	-36273	-484.46
0.27650	-36255	-501.15
0.29029	-36245	-518.29
0.30455	-36249	-535.55
0.31930	-36236	-553.24
0.33454	-36209	-571.18
0.35028	-36197	-589.54
0.36653	-36203	-608.28
0.38330	-36194	-627.27
0.40060	-36180	-646.71
0.41844	-36167	-666.24
0.43683	-36166	-686.35
0.45578	-36150	-706.87
0.47530	-36152	-727.54
0.49539	-36137	-748.69
0.51608	-36138	-770.05
0.53735	-36135	-791.84
0.55924	-36117	-813.92
0.58174	-36119	-836.56
0.60487	-36120	-859.36
0.62863	-36109	-882.51
0.65304	-36113	-906.11
0.67811	-36100	-930.01
0.70384	-36098	-954.32
0.73025	-36094	-978.91
0.75734	-36087	-1003.9
0.78513	-36091	-1029.3
0.81363	-36077	-1055.0
0.84284	-36079	-1081.0
0.87278	-36075	-1107.6
0.90345	-36052	-1134.3
0.93488	-36043	-1161.5
0.96705	-36040	-1189.2
1.0000	-35487	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -36775.0873177156
