PathParameter	MaxPathLikelihood	MLContribution
0.0000	-52994	-0.012331
2.1544e-07	-53562	-0.11189
2.1715e-06	-53582	-0.35591
8.3895e-06	-53564	-0.77220
2.1888e-05	-53018	-1.3796
4.6050e-05	-53976	-2.2031
8.4561e-05	-52997	-3.2442
0.00014136	-52519	-4.5050
0.00022061	-53098	-6.0278
0.00032669	-52525	-7.7720
0.00046416	-52481	-9.7706
0.00063774	-51839	-12.020
0.00085232	-52084	-14.516
0.0011130	-51773	-17.206
0.0014248	-50409	-20.161
0.0017932	-50885	-23.346
0.0022237	-49721	-26.651
0.0027216	-47859	-30.069
0.0032929	-48679	-33.577
0.0039432	-46589	-37.101
0.0046784	-45167	-40.526
0.0055047	-43080	-42.665
0.0064280	-40397	-45.228
0.0074546	-38274	-46.818
0.0085909	-35373	-48.899
0.0098431	-34297	-50.325
0.011218	-31538	-50.738
0.012722	-30288	-52.185
0.014361	-28078	-53.329
0.016143	-27405	-56.002
0.018075	-26503	-58.417
0.020162	-26047	-61.571
0.022413	-25885	-65.158
0.024834	-25456	-68.697
0.027432	-25400	-72.713
0.030215	-25079	-76.843
0.033190	-25124	-81.559
0.036364	-24966	-86.140
0.039745	-24711	-90.800
0.043339	-24626	-96.046
0.047156	-24585	-101.28
0.051201	-24618	-106.79
0.055484	-24524	-112.35
0.060011	-24433	-118.30
0.064790	-24388	-124.46
0.069830	-24393	-130.66
0.075138	-24272	-137.01
0.080722	-24281	-143.87
0.086591	-24230	-150.71
0.092751	-24186	-157.82
0.099213	-24184	-165.01
0.10598	-24193	-172.53
0.11307	-24160	-180.24
0.12048	-24128	-188.16
0.12823	-24124	-196.28
0.13631	-24096	-204.55
0.14475	-24089	-213.04
0.15355	-24066	-221.74
0.16271	-24062	-230.61
0.17226	-24041	-239.78
0.18218	-24040	-249.08
0.19250	-24019	-258.60
0.20322	-24014	-268.35
0.21436	-24002	-278.33
0.22591	-23988	-288.50
0.23789	-23981	-298.89
0.25031	-23982	-309.46
0.26318	-23961	-320.29
0.27650	-23950	-331.32
0.29029	-23954	-342.62
0.30455	-23946	-354.07
0.31930	-23932	-365.81
0.33454	-23938	-377.72
0.35028	-23922	-389.86
0.36653	-23923	-402.25
0.38330	-23928	-414.82
0.40060	-23923	-427.63
0.41844	-23927	-440.78
0.43683	-23917	-454.01
0.45578	-23916	-467.57
0.47530	-23901	-481.23
0.49539	-23907	-495.21
0.51608	-23899	-509.41
0.53735	-23898	-523.82
0.55924	-23901	-538.53
0.58174	-23887	-553.41
0.60487	-23893	-568.56
0.62863	-23886	-583.89
0.65304	-23887	-599.48
0.67811	-23881	-615.29
0.70384	-23875	-631.41
0.73025	-23874	-647.67
0.75734	-23869	-664.25
0.78513	-23867	-681.06
0.81363	-23872	-698.04
0.84284	-23852	-715.24
0.87278	-23859	-732.77
0.90345	-23854	-750.52
0.93488	-23856	-768.48
0.96705	-23845	-786.62
1.0000	-23835	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -24375.50901583505
