# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 21:22:28 AEST 2019 [seed=1557746546699]
# -overwrite GSS_ucld_ultra_het_clock_sim_9.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-119101.28163449555	-1093.9704516467957	-118007.31118284876	1.321747189262925	1.321747189262925	9.234809776551481	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0015604257938923876	5.383539456988408	0.2977196812529253	-118007.31118284876	-996.9345737104924	-91.51932003898331
5000	-41634.71582852409	-1433.7947951598549	-40200.92103336423	5.8090483347867305	5.8090483347867305	199.797580845926	208.5837439698732	0.8473965542359432	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.20898919400034652	0.005	0.0030641395131430394	0.006487335920943928	0.5623513325046984	0.0362319860910944	-40200.92103336423	-996.9345737104924	-429.9932587515677
10000	-32961.78021609156	-1456.9332559286238	-31504.846960162933	6.626989832228537	6.626989832228537	228.95917699798588	437.20603771348345	1.0369837885305042	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.41091743769375905	0.005	0.0017259002877471688	0.00533590311243267	0.30282080743647316	-0.027639491116702466	-31504.846960162933	-996.9345737104924	-450.2560675788953
15000	-29083.19356803897	-1448.0138712058576	-27635.17969683311	6.298272741884827	6.298272741884827	213.29816978361072	183.4396141295218	0.7710767306431972	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5579805354434052	0.005	0.0027286810731706815	0.004759777517225651	0.5190722375494523	0.02396923831988544	-27635.17969683311	-996.9345737104924	-443.8431196120006
20000	-28240.734915323323	-1441.533536446368	-26799.201378876955	6.01578944914985	6.01578944914985	196.1062742247171	128.25137404473188	0.6576345824082654	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6481891204558964	0.005	0.003293686434126736	0.0043194485085067775	0.6343094251839819	-0.02745314371112278	-26799.201378876955	-996.9345737104924	-437.84599721548597
25000	-28236.58091160633	-1440.6997345072357	-26795.881177099094	6.016394508005175	6.016394508005175	195.19117898905466	136.14600511895122	0.7035654865424006	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6719368369411178	0.005	0.0029476773227839173	0.0042571071387633806	0.5786882518304488	-0.0587433587749287	-26795.881177099094	-996.9345737104924	-436.84086065584086
30000	-28013.477813728725	-1439.7535177775899	-26573.724295951135	5.872520153282181	5.872520153282181	193.51104443856028	166.94280957826678	0.7318342962662312	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.644698729907007	0.005	0.003274645195358318	0.004142348134776455	0.6217842596421775	0.007802719347693598	-26573.724295951135	-996.9345737104924	-435.6119023823285
35000	-27453.700890084925	-1438.3640279360825	-26015.336862148844	6.076095375900546	6.076095375900546	187.42578181159726	108.80242427724401	0.6301664317250208	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7350970053491943	0.005	0.002585083661561478	0.004239383340043017	0.535626110072693	-0.07110834122194486	-26015.336862148844	-996.9345737104924	-434.7267563920895
40000	-26428.427956993895	-1432.5192119970332	-24995.90874499686	5.990978579120154	5.990978579120154	175.38724144479536	133.54917027931282	0.7710048727157313	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8604185649482557	0.005	0.0031536822775253127	0.004235160930026131	0.6436541153284069	-0.0999576563804407	-24995.90874499686	-996.9345737104924	-428.2412856369828
45000	-26367.08349527372	-1430.903775552275	-24936.179719721447	7.0621593224704	7.0621593224704	175.32289913829476	110.53486142982285	0.6650343646862482	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8718574711362508	0.005	0.0034010023838830557	0.00413988373494827	0.6675712084737726	-0.1024633434321725	-24936.179719721447	-996.9345737104924	-426.938343016054
