# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 21:30:15 AEST 2019 [seed=1557747014037]
# -overwrite GSS_ucld_ultra_het_rel0.1_sim_9.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-103465.40135149572	-1028.1310455968028	-102437.27030589891	1.3446874595649	1.3446874595649	7.781338497737671	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	8.839043835321877E-4	2.7290619405423495	0.08363429808131617	-102437.27030589891	-934.7322331602379	-87.8822545392449
5000	-32451.93433834411	-1332.4408703120407	-31119.493468032066	4.933018395543779	4.933018395543779	173.4159407313427	208.25513349641855	1.127331492918938	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.2434607123162957	0.005	0.0012242785179110314	0.005296594524227483	0.25113809972494167	-0.005116905324096061	-31119.493468032066	-934.7322331602379	-390.5016021664135
10000	-27411.00670269097	-1338.6548083387968	-26072.351894352174	4.946382539297557	4.946382539297557	172.01962593324583	167.5011393527941	0.9296326290044232	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.37514262321700514	0.005	0.0024408575491283164	0.005157866476487596	0.44280320678963236	-0.12557269116775505	-26072.351894352174	-934.7322331602379	-397.0537654396251
15000	-23547.531405661073	-1333.7136543844401	-22213.817751276634	5.584497482894484	5.584497482894484	148.0776066613466	141.24654811337226	0.8901899594575127	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.784354135012053	0.005	0.0018869995097175155	0.004683528743521677	0.36542771994972206	-0.06256895024076599	-22213.817751276634	-934.7322331602379	-391.59783861773775
20000	-23134.628074585977	-1325.8769690070176	-21808.75110557896	5.444217104759101	5.444217104759101	139.2990602753047	82.47777998669243	0.8108221861616336	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9157162724954547	0.005	0.003085851485725876	0.004113426284616898	0.5945172454923805	-0.06794815274647549	-21808.75110557896	-934.7322331602379	-384.1618878639831
25000	-23090.28483518195	-1326.440181797028	-21763.84465338492	5.4408926305378875	5.4408926305378875	139.8937291813227	83.91389376661118	0.7630383449960148	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1195297662818233	0.005	0.0032019396858774902	0.004072635846084608	0.6049796824063881	-0.05477773066263572	-21763.84465338492	-934.7322331602379	-384.35054810518653
30000	-23091.38770952746	-1324.192426621803	-21767.195282905654	5.070627743479017	5.070627743479017	135.8626145369149	78.49302932811361	0.8499230254693213	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.024804403360839	0.005	0.002573681044912214	0.00421437981824935	0.5308600216926355	-0.0514800103689481	-21767.195282905654	-934.7322331602379	-382.2614523956382
35000	-23095.837893098942	-1323.241302861949	-21772.596590236994	5.004266829570854	5.004266829570854	132.9598988983994	79.63977425369495	0.7075578289097064	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9437630408268769	0.005	0.002165641768659974	0.004202039950046819	0.4202689603334074	-0.028423281820184526	-21772.596590236994	-934.7322331602379	-381.60453322598454
40000	-23087.360833586168	-1324.8846193830677	-21762.4762142031	5.050192913712468	5.050192913712468	128.910073534801	47.385333130502445	0.48975323647413993	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.3693296699337483	0.005	0.002144088143986103	0.004254178270823614	0.4028430773412204	-0.11662302820441625	-21762.4762142031	-934.7322331602379	-382.93713015343127
45000	-23094.55212713637	-1317.669772473534	-21776.882354662834	5.048450878838072	5.048450878838072	125.31015096436026	53.26274635906456	0.7194897834950567	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.8370024765965559	0.005	0.0018538661099789574	0.004538128993125514	0.37113993215369695	-0.05762731160682255	-21776.882354662834	-934.7322331602379	-376.4992976173675
