PathParameter	MaxPathLikelihood	MLContribution
0.0000	-61986	-0.014225
2.1544e-07	-61879	-0.12948
2.1715e-06	-62116	-0.41012
8.3895e-06	-61301	-0.89033
2.1888e-05	-61415	-1.5929
4.6050e-05	-61309	-2.5415
8.4561e-05	-60725	-3.7353
0.00014136	-61208	-5.2026
0.00022061	-61289	-6.9546
0.00032669	-60989	-8.9868
0.00046416	-61396	-11.291
0.00063774	-59999	-13.881
0.00085232	-60811	-16.760
0.0011130	-59790	-19.905
0.0014248	-59801	-23.256
0.0017932	-59162	-26.909
0.0022237	-57616	-30.672
0.0027216	-57319	-34.699
0.0032929	-56471	-38.713
0.0039432	-54716	-42.660
0.0046784	-53612	-46.644
0.0055047	-48769	-49.727
0.0064280	-47196	-52.145
0.0074546	-45099	-54.202
0.0085909	-40036	-54.076
0.0098431	-37361	-55.241
0.011218	-32551	-53.387
0.012722	-33093	-56.809
0.014361	-31841	-59.723
0.016143	-30388	-61.515
0.018075	-29462	-64.600
0.020162	-29300	-68.342
0.022413	-28696	-72.246
0.024834	-28588	-76.257
0.027432	-28253	-80.812
0.030215	-28007	-85.524
0.033190	-27918	-90.669
0.036364	-27699	-95.756
0.039745	-27547	-101.20
0.043339	-27413	-106.76
0.047156	-27426	-112.66
0.051201	-27348	-118.72
0.055484	-27249	-124.94
0.060011	-27150	-131.43
0.064790	-27049	-138.19
0.069830	-26969	-145.18
0.075138	-26991	-152.34
0.080722	-26992	-159.74
0.086591	-26919	-167.28
0.092751	-26864	-175.04
0.099213	-26792	-183.16
0.10598	-26812	-191.38
0.11307	-26770	-199.80
0.12048	-26736	-208.50
0.12823	-26711	-217.45
0.13631	-26710	-226.64
0.14475	-26693	-236.02
0.15355	-26658	-245.59
0.16271	-26654	-255.42
0.17226	-26612	-265.45
0.18218	-26591	-275.82
0.19250	-26596	-286.32
0.20322	-26582	-297.07
0.21436	-26562	-308.04
0.22591	-26546	-319.28
0.23789	-26529	-330.74
0.25031	-26509	-342.47
0.26318	-26515	-354.37
0.27650	-26498	-366.62
0.29029	-26498	-379.04
0.30455	-26481	-391.70
0.31930	-26472	-404.56
0.33454	-26477	-417.76
0.35028	-26452	-431.12
0.36653	-26447	-444.75
0.38330	-26439	-458.64
0.40060	-26426	-472.70
0.41844	-26428	-487.11
0.43683	-26423	-501.75
0.45578	-26419	-516.61
0.47530	-26411	-531.71
0.49539	-26405	-547.21
0.51608	-26387	-562.77
0.53735	-26397	-578.70
0.55924	-26392	-594.76
0.58174	-26374	-611.21
0.60487	-26382	-627.83
0.62863	-26378	-644.77
0.65304	-26365	-661.99
0.67811	-26361	-679.43
0.70384	-26361	-697.17
0.73025	-26361	-715.08
0.75734	-26342	-733.29
0.78513	-26346	-751.78
0.81363	-26347	-770.60
0.84284	-26338	-789.53
0.87278	-26344	-808.97
0.90345	-26326	-828.45
0.93488	-26324	-848.28
0.96705	-26332	-868.39
1.0000	-26327	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26968.190001289622
