PathParameter	MaxPathLikelihood	MLContribution
0.0000	-69908	-0.016208
2.1544e-07	-67918	-0.14670
2.1715e-06	-68307	-0.46831
8.3895e-06	-68841	-1.0119
2.1888e-05	-68422	-1.8098
4.6050e-05	-68150	-2.8862
8.4561e-05	-68846	-4.2481
0.00014136	-68431	-5.9072
0.00022061	-69074	-7.8560
0.00032669	-67434	-10.110
0.00046416	-68181	-12.655
0.00063774	-67883	-15.566
0.00085232	-66365	-18.629
0.0011130	-66705	-22.138
0.0014248	-66391	-25.773
0.0017932	-64875	-29.646
0.0022237	-62033	-33.340
0.0027216	-60841	-37.441
0.0032929	-58834	-41.727
0.0039432	-57577	-45.355
0.0046784	-55241	-48.606
0.0055047	-52518	-51.592
0.0064280	-50487	-55.370
0.0074546	-49234	-58.927
0.0085909	-47204	-62.371
0.0098431	-44883	-64.631
0.011218	-42479	-67.048
0.012722	-41662	-71.216
0.014361	-40687	-75.133
0.016143	-38906	-78.646
0.018075	-38210	-83.215
0.020162	-37514	-87.728
0.022413	-36720	-92.203
0.024834	-36951	-98.665
0.027432	-36180	-103.50
0.030215	-35835	-109.30
0.033190	-35621	-115.29
0.036364	-35285	-121.55
0.039745	-35126	-128.73
0.043339	-34995	-135.78
0.047156	-34958	-143.61
0.051201	-34747	-151.05
0.055484	-34649	-158.93
0.060011	-34652	-167.37
0.064790	-34526	-175.94
0.069830	-34473	-184.78
0.075138	-34363	-193.70
0.080722	-34313	-203.22
0.086591	-34337	-212.92
0.092751	-34246	-222.86
0.099213	-34179	-233.17
0.10598	-34172	-243.72
0.11307	-34099	-254.31
0.12048	-34068	-265.46
0.12823	-34039	-276.92
0.13631	-34026	-288.55
0.14475	-34014	-300.45
0.15355	-33965	-312.83
0.16271	-33924	-325.33
0.17226	-33870	-338.16
0.18218	-33883	-351.20
0.19250	-33866	-364.61
0.20322	-33839	-378.37
0.21436	-33843	-392.36
0.22591	-33836	-406.58
0.23789	-33822	-421.35
0.25031	-33785	-436.10
0.26318	-33769	-451.34
0.27650	-33768	-466.93
0.29029	-33759	-482.64
0.30455	-33741	-498.87
0.31930	-33721	-515.26
0.33454	-33720	-532.03
0.35028	-33718	-549.10
0.36653	-33700	-566.41
0.38330	-33697	-584.21
0.40060	-33694	-602.17
0.41844	-33673	-620.44
0.43683	-33675	-639.14
0.45578	-33656	-658.11
0.47530	-33650	-677.48
0.49539	-33656	-697.04
0.51608	-33638	-717.01
0.53735	-33641	-737.26
0.55924	-33637	-757.90
0.58174	-33631	-778.86
0.60487	-33628	-800.12
0.62863	-33623	-821.64
0.65304	-33618	-843.66
0.67811	-33614	-866.01
0.70384	-33605	-888.50
0.73025	-33605	-911.48
0.75734	-33590	-934.71
0.78513	-33584	-958.05
0.81363	-33583	-982.14
0.84284	-33585	-1006.5
0.87278	-33579	-1031.1
0.90345	-33576	-1056.1
0.93488	-33578	-1081.4
0.96705	-33583	-1107.2
1.0000	-33568	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -34250.88752854602
