# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed May 15 08:10:44 AEST 2019 [seed=1557871843403]
# -overwrite GSS_ucld_ultra_het_rel1_sim_3.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-200861.6576830413	-1277.9123298749237	-199583.74535316636	3.1709772616872325	3.1709772616872325	13.190611740334582	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	0.0017321326371560566	7.191066967949307	-0.017769839163785134	-199583.74535316636	-1161.0601360597798	-111.33563591782395
5000	-66909.27914421479	-1662.5083020506645	-65246.77084216412	5.224421657492402	5.224421657492402	226.56583424613868	310.60226830483714	1.1991469060721789	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.13163630480169744	0.005	0.00390995849167092	0.006095508645338117	0.7349355244305233	0.037844184053400946	-65246.77084216412	-1161.0601360597798	-493.3614360193658
10000	-58233.660853270725	-1680.7924436669105	-56552.86840960381	6.931206824830374	6.931206824830374	271.48348140843245	575.0836906654603	1.0951804768368343	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3489953803110877	0.005	0.0036348294745658823	0.006037466155110822	0.6426351415384989	0.06153909342895057	-56552.86840960381	-1161.0601360597798	-508.6708370772735
15000	-51749.03454504249	-1693.2119921090336	-50055.82255293345	7.248941528112374	7.248941528112374	290.39292566892175	531.1717401543197	0.9457761529339452	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5119762144167715	0.005	0.0038789291784819997	0.006229722106343863	0.6838160690146484	0.07108493724227401	-50055.82255293345	-1161.0601360597798	-521.3522153810877
20000	-49023.04306622199	-1694.1547229235089	-47328.88834329848	7.124585268214611	7.124585268214611	288.75136367874904	449.35019368309725	0.939731530085093	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5828914167949751	0.005	0.004473873825897147	0.0063248842511329645	0.7979500622558575	0.01755548634733175	-47328.88834329848	-1161.0601360597798	-522.9755910444254
25000	-47474.19763215304	-1694.284398807221	-45779.91323334582	8.491756876985686	8.491756876985686	287.34331678978316	340.4399746582223	0.8107286027943095	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6324635956966944	0.005	0.005236850316347731	0.006058508773222534	0.896240190685	0.005094661413847328	-45779.91323334582	-1161.0601360597798	-524.2219387584023
30000	-46517.26790802398	-1695.5200979000738	-44821.74781012391	8.97034022491747	8.97034022491747	278.9448763647838	341.807616526994	0.793311543770278	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6645668736875425	0.005	0.005234953077775478	0.00593686531301178	0.8890518144438303	-0.06473643352099026	-44821.74781012391	-1161.0601360597798	-525.3971776273254
35000	-46321.85101363094	-1695.4425582121269	-44626.408455418816	8.545825809375115	8.545825809375115	279.44834471480135	334.0719981931132	0.7315864543461923	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6197143580788758	0.005	0.00531496916833109	0.005937622025491861	0.8967121740073507	-0.07152338051260189	-44626.408455418816	-1161.0601360597798	-525.5481841950871
40000	-45373.51533092173	-1697.8774537741056	-43675.63787714762	9.462718492131675	9.462718492131675	277.55384736378795	348.5061675280013	0.71939493097114	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6650248052025765	0.005	0.005515160645227687	0.005804805788648985	0.9129339990996208	-0.07001743274194776	-43675.63787714762	-1161.0601360597798	-527.7597081184139
45000	-45132.12557912767	-1698.4450487379925	-43433.680530389676	9.565307983114485	9.565307983114485	284.9649226152075	373.25084682537926	0.7681657997173184	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6978164749589786	0.005	0.005429388568288616	0.005799643174864497	0.885638124504589	-0.040625788913392205	-43433.680530389676	-1161.0601360597798	-527.9657593972988
