# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 21:32:02 AEST 2019 [seed=1557747121214]
# -overwrite GSS_ucld_ultra_het_rel1_sim_4.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-185433.36630279766	-1151.078184310464	-184282.2881184872	2.623278706852781	2.623278706852781	12.377053172939153	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.3333333333333333	9.541452256525913E-4	8.212000189802144	-0.018356470316195615	-184282.2881184872	-1034.5104732091813	-111.05115320396266
5000	-61389.347086454974	-1508.0364510714426	-59881.31063538353	7.16184893651249	7.16184893651249	247.77011493374104	307.3935189053916	0.7363207317160383	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.25053698614656916	0.005	0.0037102793815139965	0.00635007192707616	0.742814177531606	0.0713096875514614	-59881.31063538353	-1034.5104732091813	-465.69695923373365
10000	-52987.770791115	-1517.5289867817319	-51470.241804333265	8.737533838452059	8.737533838452059	259.0651907336692	256.5664255991185	0.6298047700556679	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3402380142078137	0.005	0.00315036209849825	0.006201736215303314	0.6611447305078607	-0.014630474713699734	-51470.241804333265	-1034.5104732091813	-475.62655953447245
15000	-47718.829206375754	-1525.3064325206087	-46193.52277385515	11.588410546377624	11.588410546377624	281.687034844216	205.37580888646232	0.5316828759122634	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.4391545506214739	0.005	0.0034675370487961986	0.005991075921453001	0.7076838969181048	-0.04469758457310793	-46193.52277385515	-1034.5104732091813	-483.8152487369412
20000	-44215.39450381198	-1526.7693643906855	-42688.625139421296	10.857674668026183	10.857674668026183	276.46626587932406	248.82987037741628	0.5146959182721635	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6016078525763482	0.005	0.004396345254580931	0.005792855683244735	0.9125818289405224	-0.010928089541795048	-42688.625139421296	-1034.5104732091813	-484.5329339212215
25000	-42417.57924538444	-1524.0942196061578	-40893.48502577828	10.146207197041942	10.146207197041942	272.1115026618464	201.62699422601864	0.5146959182721635	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6171254174992636	0.005	0.005279111890372196	0.005679887464331277	1.0889772704736915	0.06996292441065542	-40893.48502577828	-1034.5104732091813	-482.29613446845457
30000	-40594.5911150349	-1522.307054770159	-39072.28406026474	10.209027165424033	10.209027165424033	263.66953723169496	162.8860470071736	0.5020733122532808	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7069007013254289	0.005	0.005318734840222775	0.005525125174243403	1.0822580966856616	-0.0022770259237780773	-39072.28406026474	-1034.5104732091813	-480.7293322741612
35000	-39675.76909151082	-1521.7763990633418	-38153.99269244748	9.748430531421459	9.748430531421459	259.15290464193316	133.86712607465003	0.3908638623706633	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.706693782424609	0.005	0.006626689488774997	0.005161726227809576	1.2292843337658204	-0.11997501412222104	-38153.99269244748	-1034.5104732091813	-480.5965652004079
40000	-38621.52196647746	-1520.5932412857182	-37100.92872519174	9.43147857849673	9.43147857849673	260.04311589610114	163.02834131660282	0.47320323521857643	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.859274269768172	0.005	0.006785832206637378	0.005061839971931821	1.2715954816638029	-0.13881171625367655	-37100.92872519174	-1034.5104732091813	-478.73381749467603
45000	-38601.64208585096	-1522.4781746629506	-37079.16391118801	9.766720192257665	9.766720192257665	265.82449586051115	152.9513234821106	0.43224401256987677	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7107898296772656	0.005	0.007640351260934424	0.004797380417246192	1.3771492679251929	-0.09452825491525024	-37079.16391118801	-1034.5104732091813	-481.05488559592084
