PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5852.9	-0.016605
2.1544e-07	-5879.0	-0.024560
2.1715e-06	-5893.7	-0.051007
8.3895e-06	-5886.7	-0.096775
2.1888e-05	-5895.1	-0.16478
4.6050e-05	-5899.8	-0.24987
8.4561e-05	-5870.6	-0.35946
0.00014136	-5908.2	-0.49581
0.00022061	-5893.2	-0.65705
0.00032669	-5882.0	-0.84617
0.00046416	-5907.0	-1.0670
0.00063774	-5875.0	-1.3139
0.00085232	-5892.0	-1.5893
0.0011130	-5874.4	-1.8931
0.0014248	-5877.9	-2.2348
0.0017932	-5907.3	-2.6079
0.0022237	-5873.7	-3.0101
0.0027216	-5897.4	-3.4495
0.0032929	-5890.5	-3.9261
0.0039432	-5880.8	-4.4328
0.0046784	-5884.4	-4.9792
0.0055047	-5869.5	-5.5598
0.0064280	-5884.1	-6.1779
0.0074546	-5877.6	-6.8339
0.0085909	-5882.9	-7.5257
0.0098431	-5864.0	-8.2552
0.011218	-5855.0	-9.0181
0.012722	-5837.2	-9.8277
0.014361	-5843.1	-10.672
0.016143	-5836.3	-11.567
0.018075	-5872.2	-12.477
0.020162	-5844.7	-13.450
0.022413	-5847.0	-14.461
0.024834	-5826.1	-15.503
0.027432	-5860.1	-16.586
0.030215	-5855.7	-17.719
0.033190	-5843.1	-18.898
0.036364	-5828.9	-20.097
0.039745	-5839.3	-21.364
0.043339	-5837.0	-22.653
0.047156	-5817.2	-24.008
0.051201	-5825.1	-25.385
0.055484	-5821.7	-26.811
0.060011	-5813.8	-28.266
0.064790	-5802.8	-29.788
0.069830	-5787.4	-31.325
0.075138	-5792.3	-32.925
0.080722	-5789.9	-34.566
0.086591	-5783.9	-36.204
0.092751	-5767.7	-38.004
0.099213	-5770.4	-39.693
0.10598	-5759.4	-41.535
0.11307	-5736.5	-43.362
0.12048	-5742.4	-45.240
0.12823	-5719.2	-47.181
0.13631	-5750.4	-49.212
0.14475	-5718.3	-51.184
0.15355	-5716.4	-53.225
0.16271	-5719.8	-55.367
0.17226	-5699.2	-57.463
0.18218	-5677.5	-59.550
0.19250	-5676.9	-61.802
0.20322	-5661.5	-63.949
0.21436	-5638.4	-66.221
0.22591	-5643.8	-68.652
0.23789	-5641.5	-70.885
0.25031	-5631.5	-73.378
0.26318	-5632.8	-75.834
0.27650	-5626.6	-78.339
0.29029	-5614.4	-80.884
0.30455	-5600.7	-83.324
0.31930	-5601.0	-86.146
0.33454	-5599.6	-88.864
0.35028	-5603.0	-91.708
0.36653	-5601.5	-94.565
0.38330	-5599.1	-97.343
0.40060	-5598.9	-100.39
0.41844	-5597.8	-103.33
0.43683	-5598.1	-106.43
0.45578	-5589.6	-109.64
0.47530	-5589.1	-112.83
0.49539	-5595.7	-116.12
0.51608	-5593.7	-119.40
0.53735	-5593.3	-122.74
0.55924	-5588.4	-126.19
0.58174	-5587.6	-129.67
0.60487	-5580.1	-133.22
0.62863	-5585.4	-136.87
0.65304	-5590.0	-140.50
0.67811	-5588.6	-144.25
0.70384	-5583.6	-147.98
0.73025	-5579.8	-151.83
0.75734	-5582.0	-155.72
0.78513	-5584.2	-159.66
0.81363	-5552.2	-163.61
0.84284	-5569.0	-167.69
0.87278	-5565.4	-171.77
0.90345	-5566.4	-175.88
0.93488	-5460.5	-179.92
0.96705	-5470.4	-183.38
1.0000	2.5108e+05	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5673.308863228061
