PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5681.8	-0.015479
2.1544e-07	-5688.0	-0.026671
2.1715e-06	-5679.4	-0.047270
8.3895e-06	-5679.1	-0.088585
2.1888e-05	-5676.4	-0.15006
4.6050e-05	-5679.8	-0.23966
8.4561e-05	-5685.3	-0.34330
0.00014136	-5681.4	-0.46951
0.00022061	-5673.8	-0.62471
0.00032669	-5686.7	-0.80492
0.00046416	-5671.2	-1.0138
0.00063774	-5678.4	-1.2456
0.00085232	-5679.5	-1.5111
0.0011130	-5676.5	-1.8072
0.0014248	-5683.2	-2.1296
0.0017932	-5681.9	-2.4853
0.0022237	-5682.1	-2.8751
0.0027216	-5675.4	-3.2930
0.0032929	-5677.6	-3.7446
0.0039432	-5678.6	-4.2335
0.0046784	-5677.1	-4.7520
0.0055047	-5671.7	-5.3114
0.0064280	-5672.7	-5.9011
0.0074546	-5674.6	-6.5259
0.0085909	-5678.9	-7.1919
0.0098431	-5668.1	-7.8905
0.011218	-5676.0	-8.6252
0.012722	-5681.0	-9.4060
0.014361	-5674.3	-10.222
0.016143	-5670.4	-11.070
0.018075	-5675.8	-11.960
0.020162	-5669.7	-12.895
0.022413	-5681.0	-13.867
0.024834	-5670.4	-14.873
0.027432	-5666.9	-15.926
0.030215	-5670.4	-17.021
0.033190	-5660.1	-18.155
0.036364	-5671.3	-19.331
0.039745	-5661.3	-20.549
0.043339	-5658.1	-21.808
0.047156	-5662.0	-23.113
0.051201	-5662.3	-24.459
0.055484	-5667.9	-25.860
0.060011	-5665.8	-27.287
0.064790	-5652.9	-28.774
0.069830	-5666.0	-30.295
0.075138	-5658.8	-31.849
0.080722	-5661.1	-33.472
0.086591	-5656.6	-35.130
0.092751	-5643.5	-36.833
0.099213	-5651.8	-38.583
0.10598	-5664.1	-40.385
0.11307	-5653.9	-42.223
0.12048	-5644.5	-44.114
0.12823	-5650.1	-46.061
0.13631	-5648.7	-48.037
0.14475	-5640.3	-50.052
0.15355	-5638.9	-52.129
0.16271	-5645.6	-54.274
0.17226	-5635.0	-56.401
0.18218	-5630.4	-58.622
0.19250	-5625.5	-60.885
0.20322	-5619.4	-63.208
0.21436	-5628.0	-65.530
0.22591	-5625.3	-67.911
0.23789	-5604.8	-70.347
0.25031	-5617.6	-72.853
0.26318	-5604.2	-75.369
0.27650	-5600.2	-77.969
0.29029	-5612.0	-80.542
0.30455	-5601.7	-83.231
0.31930	-5599.7	-85.968
0.33454	-5593.8	-88.671
0.35028	-5587.2	-91.339
0.36653	-5585.2	-94.265
0.38330	-5591.4	-97.365
0.40060	-5586.6	-100.12
0.41844	-5588.5	-103.19
0.43683	-5583.2	-106.31
0.45578	-5582.2	-109.40
0.47530	-5584.4	-112.61
0.49539	-5581.6	-115.88
0.51608	-5581.5	-119.16
0.53735	-5581.3	-122.50
0.55924	-5576.9	-125.96
0.58174	-5579.4	-129.44
0.60487	-5580.5	-132.94
0.62863	-5574.2	-136.51
0.65304	-5573.7	-140.20
0.67811	-5570.4	-143.90
0.70384	-5574.8	-147.64
0.73025	-5568.6	-151.50
0.75734	-5568.5	-155.34
0.78513	-5564.8	-159.27
0.81363	-5565.2	-163.25
0.84284	-5557.7	-167.29
0.87278	-5545.4	-171.36
0.90345	-5509.8	-175.40
0.93488	-5501.8	-179.40
0.96705	-5411.2	-182.92
1.0000	8.2691e+175	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5625.331874740489
