PathParameter	MaxPathLikelihood	MLContribution
0.0000	-6362.5	-0.0055960
2.1544e-07	-6327.3	-0.023978
2.1715e-06	-6357.9	-0.052120
8.3895e-06	-6362.1	-0.10102
2.1888e-05	-6348.9	-0.17125
4.6050e-05	-6328.8	-0.26464
8.4561e-05	-6355.4	-0.38396
0.00014136	-6336.2	-0.53197
0.00022061	-6339.4	-0.70590
0.00032669	-6346.9	-0.91130
0.00046416	-6325.9	-1.1433
0.00063774	-6350.1	-1.4154
0.00085232	-6278.1	-1.7088
0.0011130	-6337.8	-2.0431
0.0014248	-6348.5	-2.4104
0.0017932	-6341.8	-2.8161
0.0022237	-6341.4	-3.2575
0.0027216	-6317.9	-3.7278
0.0032929	-6353.4	-4.2382
0.0039432	-6328.8	-4.7885
0.0046784	-6334.0	-5.3755
0.0055047	-6318.9	-5.9960
0.0064280	-6304.7	-6.6688
0.0074546	-6338.0	-7.3652
0.0085909	-6339.3	-8.1087
0.0098431	-6343.3	-8.8996
0.011218	-6337.3	-9.7266
0.012722	-6329.7	-10.601
0.014361	-6334.5	-11.516
0.016143	-6322.0	-12.458
0.018075	-6312.7	-13.460
0.020162	-6280.1	-14.490
0.022413	-6296.9	-15.580
0.024834	-6301.6	-16.701
0.027432	-6288.1	-17.863
0.030215	-6264.3	-19.083
0.033190	-6301.2	-20.344
0.036364	-6282.9	-21.652
0.039745	-6268.7	-22.997
0.043339	-6263.2	-24.386
0.047156	-6259.3	-25.823
0.051201	-6274.9	-27.331
0.055484	-6254.9	-28.864
0.060011	-6271.3	-30.422
0.064790	-6233.3	-32.036
0.069830	-6213.6	-33.700
0.075138	-6227.3	-35.450
0.080722	-6229.5	-37.176
0.086591	-6204.1	-38.978
0.092751	-6199.1	-40.805
0.099213	-6174.4	-42.648
0.10598	-6129.5	-44.600
0.11307	-6166.8	-46.616
0.12048	-6172.7	-48.634
0.12823	-6154.6	-50.696
0.13631	-6143.6	-52.712
0.14475	-6123.0	-54.839
0.15355	-6115.2	-57.111
0.16271	-6081.7	-59.198
0.17226	-6069.0	-61.355
0.18218	-6050.8	-63.749
0.19250	-6030.7	-65.881
0.20322	-5986.3	-68.182
0.21436	-5993.2	-70.630
0.22591	-5940.6	-72.921
0.23789	-5963.5	-75.422
0.25031	-5949.9	-77.798
0.26318	-5929.9	-80.270
0.27650	-5924.9	-82.797
0.29029	-5889.3	-85.314
0.30455	-5869.4	-87.852
0.31930	-5844.4	-90.562
0.33454	-5847.1	-93.334
0.35028	-5820.2	-95.787
0.36653	-5803.9	-98.678
0.38330	-5817.9	-101.54
0.40060	-5806.9	-104.56
0.41844	-5794.6	-107.57
0.43683	-5784.2	-110.77
0.45578	-5771.1	-113.39
0.47530	-5768.7	-116.72
0.49539	-5759.4	-119.81
0.51608	-5747.9	-123.21
0.53735	-5753.1	-126.59
0.55924	-5744.5	-130.30
0.58174	-5752.1	-133.62
0.60487	-5757.8	-137.52
0.62863	-5743.4	-140.84
0.65304	-5746.7	-144.63
0.67811	-5748.3	-148.38
0.70384	-5748.7	-152.34
0.73025	-5739.5	-156.17
0.75734	-5742.2	-160.18
0.78513	-5740.4	-164.22
0.81363	-5738.3	-168.33
0.84284	-5722.1	-172.44
0.87278	-5706.1	-176.60
0.90345	-5710.8	-180.84
0.93488	-5689.1	-184.97
0.96705	-5576.9	-189.11
1.0000	3.5738e+11	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5926.785195253607
