PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5758.2	-0.019742
2.1544e-07	-5780.5	-0.035400
2.1715e-06	-5780.2	-0.052580
8.3895e-06	-5767.5	-0.10161
2.1888e-05	-5756.1	-0.16817
4.6050e-05	-5757.5	-0.25349
8.4561e-05	-5748.7	-0.36491
0.00014136	-5765.2	-0.49732
0.00022061	-5773.1	-0.65548
0.00032669	-5761.1	-0.83996
0.00046416	-5766.0	-1.0515
0.00063774	-5761.9	-1.2934
0.00085232	-5771.7	-1.5560
0.0011130	-5769.1	-1.8597
0.0014248	-5762.6	-2.1885
0.0017932	-5769.3	-2.5473
0.0022237	-5770.4	-2.9417
0.0027216	-5767.0	-3.3685
0.0032929	-5769.9	-3.8287
0.0039432	-5759.0	-4.3237
0.0046784	-5757.4	-4.8536
0.0055047	-5764.5	-5.4176
0.0064280	-5768.4	-6.0216
0.0074546	-5761.9	-6.6594
0.0085909	-5755.4	-7.3355
0.0098431	-5750.2	-8.0468
0.011218	-5753.8	-8.7972
0.012722	-5771.7	-9.5870
0.014361	-5750.5	-10.411
0.016143	-5765.2	-11.286
0.018075	-5753.4	-12.184
0.020162	-5760.2	-13.128
0.022413	-5755.5	-14.119
0.024834	-5738.4	-15.145
0.027432	-5749.3	-16.217
0.030215	-5737.5	-17.321
0.033190	-5742.8	-18.479
0.036364	-5750.4	-19.672
0.039745	-5751.6	-20.908
0.043339	-5740.9	-22.188
0.047156	-5740.8	-23.494
0.051201	-5733.1	-24.875
0.055484	-5736.7	-26.284
0.060011	-5734.7	-27.734
0.064790	-5739.3	-29.245
0.069830	-5727.4	-30.773
0.075138	-5725.9	-32.357
0.080722	-5737.7	-34.005
0.086591	-5727.1	-35.678
0.092751	-5729.2	-37.387
0.099213	-5688.7	-39.131
0.10598	-5713.2	-40.943
0.11307	-5712.7	-42.820
0.12048	-5693.0	-44.701
0.12823	-5686.9	-46.656
0.13631	-5691.0	-48.649
0.14475	-5685.0	-50.670
0.15355	-5680.5	-52.728
0.16271	-5661.8	-54.805
0.17226	-5668.8	-57.021
0.18218	-5648.4	-59.174
0.19250	-5647.4	-61.511
0.20322	-5645.0	-63.744
0.21436	-5638.2	-65.986
0.22591	-5620.6	-68.444
0.23789	-5635.6	-70.772
0.25031	-5624.8	-73.197
0.26318	-5634.5	-75.775
0.27650	-5614.1	-78.225
0.29029	-5614.4	-80.878
0.30455	-5597.3	-83.447
0.31930	-5604.7	-86.127
0.33454	-5584.8	-88.598
0.35028	-5602.5	-91.560
0.36653	-5587.9	-94.422
0.38330	-5577.9	-97.260
0.40060	-5586.7	-100.19
0.41844	-5585.1	-103.23
0.43683	-5582.0	-106.31
0.45578	-5586.2	-109.40
0.47530	-5580.5	-112.66
0.49539	-5579.1	-115.84
0.51608	-5582.6	-119.07
0.53735	-5583.1	-122.48
0.55924	-5577.9	-125.85
0.58174	-5574.2	-129.39
0.60487	-5573.9	-132.91
0.62863	-5572.9	-136.51
0.65304	-5574.0	-140.17
0.67811	-5571.3	-143.85
0.70384	-5575.2	-147.64
0.73025	-5569.7	-151.43
0.75734	-5568.8	-155.33
0.78513	-5569.1	-159.25
0.81363	-5545.5	-163.21
0.84284	-5560.1	-167.24
0.87278	-5550.7	-171.30
0.90345	-5537.5	-175.45
0.93488	-5521.5	-179.54
0.96705	-5369.5	-182.58
1.0000	1.2213e+109	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5645.648536505093
