PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5680.4	-0.022553
2.1544e-07	-5678.5	-0.025465
2.1715e-06	-5686.0	-0.048927
8.3895e-06	-5670.8	-0.093750
2.1888e-05	-5678.0	-0.15453
4.6050e-05	-5681.3	-0.23680
8.4561e-05	-5669.2	-0.34237
0.00014136	-5677.7	-0.47210
0.00022061	-5671.5	-0.62439
0.00032669	-5677.1	-0.80570
0.00046416	-5675.6	-1.0156
0.00063774	-5690.7	-1.2484
0.00085232	-5663.6	-1.5116
0.0011130	-5675.8	-1.8050
0.0014248	-5683.0	-2.1347
0.0017932	-5676.6	-2.4868
0.0022237	-5681.1	-2.8757
0.0027216	-5675.4	-3.2941
0.0032929	-5674.7	-3.7454
0.0039432	-5668.9	-4.2320
0.0046784	-5679.0	-4.7555
0.0055047	-5673.4	-5.3102
0.0064280	-5671.7	-5.8996
0.0074546	-5676.7	-6.5291
0.0085909	-5674.4	-7.1936
0.0098431	-5664.2	-7.8943
0.011218	-5681.8	-8.6283
0.012722	-5680.1	-9.4060
0.014361	-5670.9	-10.222
0.016143	-5676.6	-11.074
0.018075	-5679.8	-11.961
0.020162	-5679.6	-12.893
0.022413	-5673.7	-13.865
0.024834	-5675.0	-14.879
0.027432	-5671.7	-15.933
0.030215	-5665.4	-17.028
0.033190	-5668.0	-18.155
0.036364	-5672.8	-19.330
0.039745	-5668.6	-20.551
0.043339	-5661.1	-21.820
0.047156	-5671.8	-23.117
0.051201	-5669.1	-24.470
0.055484	-5667.7	-25.861
0.060011	-5664.8	-27.291
0.064790	-5656.8	-28.771
0.069830	-5664.2	-30.301
0.075138	-5661.8	-31.865
0.080722	-5650.6	-33.480
0.086591	-5641.9	-35.133
0.092751	-5642.7	-36.829
0.099213	-5654.5	-38.592
0.10598	-5652.2	-40.375
0.11307	-5647.9	-42.235
0.12048	-5655.5	-44.119
0.12823	-5642.7	-46.037
0.13631	-5640.4	-48.013
0.14475	-5643.7	-50.054
0.15355	-5630.2	-52.104
0.16271	-5637.3	-54.244
0.17226	-5628.4	-56.406
0.18218	-5627.3	-58.630
0.19250	-5638.6	-60.849
0.20322	-5625.9	-63.158
0.21436	-5616.9	-65.500
0.22591	-5616.8	-67.891
0.23789	-5618.9	-70.357
0.25031	-5615.4	-72.838
0.26318	-5611.3	-75.300
0.27650	-5601.1	-77.928
0.29029	-5604.5	-80.599
0.30455	-5603.3	-83.258
0.31930	-5600.4	-85.929
0.33454	-5586.5	-88.620
0.35028	-5598.1	-91.585
0.36653	-5588.9	-94.320
0.38330	-5580.3	-97.130
0.40060	-5584.2	-100.17
0.41844	-5585.7	-103.23
0.43683	-5583.6	-106.19
0.45578	-5577.6	-109.36
0.47530	-5581.6	-112.64
0.49539	-5578.6	-115.80
0.51608	-5583.3	-119.21
0.53735	-5582.6	-122.48
0.55924	-5581.8	-125.93
0.58174	-5581.4	-129.45
0.60487	-5581.6	-132.92
0.62863	-5572.1	-136.53
0.65304	-5577.7	-140.22
0.67811	-5569.4	-143.93
0.70384	-5564.6	-147.66
0.73025	-5570.7	-151.45
0.75734	-5563.7	-155.35
0.78513	-5567.7	-159.29
0.81363	-5560.4	-163.24
0.84284	-5563.4	-167.31
0.87278	-5562.9	-171.37
0.90345	-5529.9	-175.47
0.93488	-5539.6	-179.59
0.96705	-5495.8	-183.61
1.0000	3.2801e+13	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5626.091041144431
