PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5972.5	-0.030253
2.1544e-07	-5974.0	-0.030079
2.1715e-06	-5977.7	-0.049723
8.3895e-06	-5983.3	-0.092862
2.1888e-05	-5982.5	-0.15516
4.6050e-05	-5962.2	-0.24409
8.4561e-05	-5962.6	-0.35575
0.00014136	-5970.6	-0.49187
0.00022061	-5969.5	-0.65578
0.00032669	-5981.5	-0.84838
0.00046416	-5980.4	-1.0669
0.00063774	-5959.3	-1.3176
0.00085232	-5972.9	-1.5987
0.0011130	-5979.2	-1.9104
0.0014248	-5973.2	-2.2557
0.0017932	-5970.0	-2.6304
0.0022237	-5972.9	-3.0397
0.0027216	-5953.2	-3.4846
0.0032929	-5965.5	-3.9639
0.0039432	-5970.6	-4.4790
0.0046784	-5957.1	-5.0283
0.0055047	-5954.0	-5.6141
0.0064280	-5971.2	-6.2439
0.0074546	-5937.6	-6.9097
0.0085909	-5944.8	-7.6060
0.0098431	-5957.0	-8.3501
0.011218	-5958.1	-9.1245
0.012722	-5965.4	-9.9499
0.014361	-5928.8	-10.801
0.016143	-5942.9	-11.697
0.018075	-5953.8	-12.646
0.020162	-5919.0	-13.614
0.022413	-5923.9	-14.646
0.024834	-5919.0	-15.704
0.027432	-5954.4	-16.827
0.030215	-5946.1	-17.972
0.033190	-5929.6	-19.160
0.036364	-5914.4	-20.380
0.039745	-5915.9	-21.689
0.043339	-5934.5	-22.990
0.047156	-5891.6	-24.353
0.051201	-5911.0	-25.770
0.055484	-5866.9	-27.213
0.060011	-5883.8	-28.668
0.064790	-5906.9	-30.216
0.069830	-5902.8	-31.817
0.075138	-5865.5	-33.368
0.080722	-5853.6	-35.016
0.086591	-5856.0	-36.826
0.092751	-5844.0	-38.454
0.099213	-5844.2	-40.130
0.10598	-5844.3	-42.102
0.11307	-5854.2	-43.983
0.12048	-5825.7	-45.788
0.12823	-5824.7	-47.623
0.13631	-5832.6	-49.742
0.14475	-5803.2	-51.725
0.15355	-5810.3	-53.797
0.16271	-5806.4	-55.973
0.17226	-5803.7	-58.185
0.18218	-5798.2	-60.549
0.19250	-5786.7	-62.734
0.20322	-5761.5	-65.112
0.21436	-5767.3	-67.465
0.22591	-5743.5	-69.903
0.23789	-5760.5	-72.348
0.25031	-5765.1	-74.872
0.26318	-5752.4	-77.466
0.27650	-5752.7	-80.123
0.29029	-5751.7	-82.854
0.30455	-5731.9	-85.450
0.31930	-5717.3	-87.980
0.33454	-5691.2	-90.747
0.35028	-5698.4	-93.603
0.36653	-5701.3	-96.601
0.38330	-5687.2	-99.275
0.40060	-5692.8	-102.44
0.41844	-5686.2	-105.38
0.43683	-5686.4	-108.55
0.45578	-5660.8	-111.33
0.47530	-5667.2	-114.52
0.49539	-5658.8	-117.79
0.51608	-5656.0	-121.11
0.53735	-5652.6	-124.32
0.55924	-5658.4	-127.82
0.58174	-5649.0	-131.37
0.60487	-5645.9	-134.84
0.62863	-5651.4	-138.58
0.65304	-5650.7	-142.08
0.67811	-5639.3	-145.79
0.70384	-5649.4	-149.66
0.73025	-5644.0	-153.59
0.75734	-5641.7	-157.41
0.78513	-5649.5	-161.45
0.81363	-5630.5	-165.35
0.84284	-5623.5	-169.51
0.87278	-5618.2	-173.55
0.90345	-5627.1	-177.79
0.93488	-5606.2	-181.90
0.96705	-5536.8	-185.46
1.0000	4.3039e+46	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5755.076343462299
