PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5911.9	-0.0013014
2.1544e-07	-5905.5	-0.011815
2.1715e-06	-5908.4	-0.037540
8.3895e-06	-5915.2	-0.081481
2.1888e-05	-5919.9	-0.14591
4.6050e-05	-5897.7	-0.23254
8.4561e-05	-5916.0	-0.34289
0.00014136	-5917.7	-0.47882
0.00022061	-5921.1	-0.64013
0.00032669	-5902.3	-0.82979
0.00046416	-5923.9	-1.0476
0.00063774	-5916.4	-1.2944
0.00085232	-5872.6	-1.5734
0.0011130	-5905.2	-1.8830
0.0014248	-5899.1	-2.2216
0.0017932	-5909.3	-2.5975
0.0022237	-5888.3	-3.0030
0.0027216	-5895.4	-3.4449
0.0032929	-5903.8	-3.9212
0.0039432	-5913.5	-4.4355
0.0046784	-5892.7	-4.9796
0.0055047	-5891.6	-5.5643
0.0064280	-5916.9	-6.1857
0.0074546	-5906.2	-6.8442
0.0085909	-5900.9	-7.5431
0.0098431	-5906.0	-8.2729
0.011218	-5904.8	-9.0550
0.012722	-5906.6	-9.8532
0.014361	-5892.5	-10.714
0.016143	-5894.1	-11.604
0.018075	-5897.7	-12.537
0.020162	-5893.3	-13.505
0.022413	-5900.8	-14.527
0.024834	-5875.9	-15.584
0.027432	-5888.9	-16.675
0.030215	-5872.8	-17.810
0.033190	-5850.8	-18.993
0.036364	-5864.2	-20.220
0.039745	-5866.7	-21.482
0.043339	-5830.7	-22.795
0.047156	-5829.3	-24.105
0.051201	-5830.3	-25.521
0.055484	-5849.0	-26.934
0.060011	-5836.8	-28.402
0.064790	-5817.4	-29.904
0.069830	-5824.1	-31.451
0.075138	-5801.6	-33.087
0.080722	-5799.3	-34.702
0.086591	-5783.6	-36.365
0.092751	-5769.2	-38.040
0.099213	-5778.9	-39.835
0.10598	-5776.0	-41.615
0.11307	-5737.7	-43.482
0.12048	-5737.5	-45.293
0.12823	-5753.2	-47.288
0.13631	-5718.8	-49.220
0.14475	-5708.1	-51.130
0.15355	-5713.1	-53.155
0.16271	-5687.0	-55.290
0.17226	-5683.6	-57.320
0.18218	-5682.0	-59.469
0.19250	-5662.3	-61.612
0.20322	-5635.2	-63.856
0.21436	-5633.8	-66.135
0.22591	-5632.4	-68.466
0.23789	-5627.4	-70.827
0.25031	-5620.6	-73.249
0.26318	-5637.4	-75.724
0.27650	-5612.6	-78.183
0.29029	-5607.6	-80.689
0.30455	-5608.2	-83.341
0.31930	-5606.0	-86.092
0.33454	-5604.7	-88.741
0.35028	-5605.2	-91.664
0.36653	-5603.3	-94.427
0.38330	-5603.8	-97.331
0.40060	-5604.4	-100.32
0.41844	-5600.9	-103.36
0.43683	-5599.6	-106.44
0.45578	-5601.6	-109.66
0.47530	-5603.3	-112.80
0.49539	-5601.0	-116.16
0.51608	-5599.9	-119.44
0.53735	-5594.4	-122.88
0.55924	-5598.5	-126.23
0.58174	-5596.0	-129.77
0.60487	-5597.9	-133.34
0.62863	-5597.9	-136.99
0.65304	-5594.1	-140.65
0.67811	-5593.7	-144.34
0.70384	-5596.9	-148.12
0.73025	-5591.0	-151.95
0.75734	-5581.1	-155.82
0.78513	-5586.5	-159.79
0.81363	-5590.0	-163.79
0.84284	-5586.0	-167.83
0.87278	-5577.2	-171.92
0.90345	-5586.1	-176.15
0.93488	-5571.4	-180.33
0.96705	-5565.2	-184.58
1.0000	-5461.5	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5677.566875556837
