PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5691.2	-0.0012366
2.1544e-07	-5702.4	-0.011233
2.1715e-06	-5696.9	-0.035708
8.3895e-06	-5692.1	-0.077509
2.1888e-05	-5692.2	-0.13867
4.6050e-05	-5693.7	-0.22110
8.4561e-05	-5696.1	-0.32608
0.00014136	-5696.8	-0.45516
0.00022061	-5693.9	-0.60893
0.00032669	-5697.0	-0.78930
0.00046416	-5693.4	-0.99632
0.00063774	-5700.4	-1.2320
0.00085232	-5683.7	-1.4962
0.0011130	-5698.8	-1.7898
0.0014248	-5676.3	-2.1150
0.0017932	-5693.7	-2.4699
0.0022237	-5695.1	-2.8576
0.0027216	-5695.1	-3.2778
0.0032929	-5689.0	-3.7308
0.0039432	-5697.6	-4.2164
0.0046784	-5681.0	-4.7393
0.0055047	-5693.5	-5.2969
0.0064280	-5679.3	-5.8875
0.0074546	-5698.1	-6.5172
0.0085909	-5690.8	-7.1804
0.0098431	-5687.7	-7.8820
0.011218	-5691.9	-8.6197
0.012722	-5687.7	-9.3994
0.014361	-5679.1	-10.213
0.016143	-5682.6	-11.068
0.018075	-5698.8	-11.963
0.020162	-5689.8	-12.896
0.022413	-5686.2	-13.870
0.024834	-5694.7	-14.888
0.027432	-5686.0	-15.940
0.030215	-5676.6	-17.039
0.033190	-5676.9	-18.178
0.036364	-5697.5	-19.362
0.039745	-5691.6	-20.584
0.043339	-5685.4	-21.851
0.047156	-5691.2	-23.166
0.051201	-5673.4	-24.521
0.055484	-5678.9	-25.914
0.060011	-5687.1	-27.357
0.064790	-5685.4	-28.840
0.069830	-5675.7	-30.375
0.075138	-5668.6	-31.950
0.080722	-5666.8	-33.575
0.086591	-5676.1	-35.230
0.092751	-5673.7	-36.946
0.099213	-5670.3	-38.701
0.10598	-5659.8	-40.510
0.11307	-5649.3	-42.347
0.12048	-5666.1	-44.261
0.12823	-5654.8	-46.204
0.13631	-5659.2	-48.190
0.14475	-5664.8	-50.215
0.15355	-5652.0	-52.306
0.16271	-5656.6	-54.444
0.17226	-5652.2	-56.608
0.18218	-5659.6	-58.790
0.19250	-5648.9	-61.030
0.20322	-5649.4	-63.419
0.21436	-5647.1	-65.718
0.22591	-5634.4	-68.146
0.23789	-5635.3	-70.592
0.25031	-5631.7	-73.104
0.26318	-5617.0	-75.563
0.27650	-5609.1	-78.086
0.29029	-5621.1	-80.674
0.30455	-5622.6	-83.500
0.31930	-5622.7	-86.260
0.33454	-5606.4	-88.879
0.35028	-5598.8	-91.649
0.36653	-5605.9	-94.594
0.38330	-5604.4	-97.463
0.40060	-5603.4	-100.38
0.41844	-5603.9	-103.44
0.43683	-5600.8	-106.48
0.45578	-5600.1	-109.68
0.47530	-5600.9	-112.86
0.49539	-5603.5	-116.23
0.51608	-5598.2	-119.43
0.53735	-5600.5	-122.83
0.55924	-5598.1	-126.28
0.58174	-5597.3	-129.78
0.60487	-5599.8	-133.37
0.62863	-5595.7	-136.96
0.65304	-5591.7	-140.60
0.67811	-5594.8	-144.33
0.70384	-5594.4	-148.12
0.73025	-5594.1	-151.96
0.75734	-5592.1	-155.85
0.78513	-5588.3	-159.79
0.81363	-5585.3	-163.80
0.84284	-5591.9	-167.87
0.87278	-5568.3	-171.94
0.90345	-5572.2	-176.14
0.93488	-5555.1	-180.20
0.96705	-5572.1	-184.61
1.0000	-5501.1	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5642.282313696512
