PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5780.6	-0.0012556
2.1544e-07	-5780.5	-0.011400
2.1715e-06	-5786.2	-0.036246
8.3895e-06	-5774.9	-0.078701
2.1888e-05	-5785.7	-0.14084
4.6050e-05	-5769.7	-0.22448
8.4561e-05	-5775.5	-0.33106
0.00014136	-5779.3	-0.46197
0.00022061	-5780.0	-0.61853
0.00032669	-5787.7	-0.80123
0.00046416	-5786.6	-1.0118
0.00063774	-5778.0	-1.2509
0.00085232	-5768.0	-1.5192
0.0011130	-5789.6	-1.8177
0.0014248	-5777.5	-2.1468
0.0017932	-5780.9	-2.5085
0.0022237	-5782.8	-2.9022
0.0027216	-5770.9	-3.3291
0.0032929	-5776.0	-3.7900
0.0039432	-5771.4	-4.2855
0.0046784	-5768.8	-4.8148
0.0055047	-5779.7	-5.3808
0.0064280	-5788.0	-5.9820
0.0074546	-5764.9	-6.6212
0.0085909	-5776.9	-7.2969
0.0098431	-5778.0	-8.0089
0.011218	-5777.2	-8.7586
0.012722	-5778.8	-9.5508
0.014361	-5776.7	-10.380
0.016143	-5773.7	-11.248
0.018075	-5779.8	-12.158
0.020162	-5770.6	-13.104
0.022413	-5782.2	-14.100
0.024834	-5775.9	-15.131
0.027432	-5782.3	-16.205
0.030215	-5770.1	-17.317
0.033190	-5752.5	-18.476
0.036364	-5777.1	-19.679
0.039745	-5771.9	-20.919
0.043339	-5761.7	-22.206
0.047156	-5772.6	-23.540
0.051201	-5759.6	-24.903
0.055484	-5763.4	-26.324
0.060011	-5753.7	-27.811
0.064790	-5765.4	-29.307
0.069830	-5754.6	-30.851
0.075138	-5775.5	-32.475
0.080722	-5763.6	-34.109
0.086591	-5767.9	-35.800
0.092751	-5745.3	-37.525
0.099213	-5740.0	-39.319
0.10598	-5766.1	-41.149
0.11307	-5749.3	-43.014
0.12048	-5743.3	-44.913
0.12823	-5736.8	-46.890
0.13631	-5746.8	-48.920
0.14475	-5733.1	-50.968
0.15355	-5733.5	-53.025
0.16271	-5731.4	-55.185
0.17226	-5717.4	-57.322
0.18218	-5709.7	-59.572
0.19250	-5726.4	-61.836
0.20322	-5713.6	-64.182
0.21436	-5727.0	-66.696
0.22591	-5704.7	-68.981
0.23789	-5703.2	-71.515
0.25031	-5710.5	-73.964
0.26318	-5697.4	-76.610
0.27650	-5700.4	-79.356
0.29029	-5681.6	-81.742
0.30455	-5689.9	-84.562
0.31930	-5699.6	-87.375
0.33454	-5677.5	-90.206
0.35028	-5671.4	-92.842
0.36653	-5685.7	-95.932
0.38330	-5672.5	-98.771
0.40060	-5676.2	-101.84
0.41844	-5663.3	-104.90
0.43683	-5661.6	-107.97
0.45578	-5665.4	-110.93
0.47530	-5665.6	-114.29
0.49539	-5666.2	-117.68
0.51608	-5666.4	-120.97
0.53735	-5657.4	-124.28
0.55924	-5663.1	-127.86
0.58174	-5661.2	-131.32
0.60487	-5663.3	-134.93
0.62863	-5661.4	-138.53
0.65304	-5661.1	-142.30
0.67811	-5660.5	-146.04
0.70384	-5656.3	-149.80
0.73025	-5654.2	-153.66
0.75734	-5653.0	-157.60
0.78513	-5648.3	-161.59
0.81363	-5652.4	-165.62
0.84284	-5645.7	-169.73
0.87278	-5643.8	-173.86
0.90345	-5646.6	-178.07
0.93488	-5633.0	-182.30
0.96705	-5640.4	-186.64
1.0000	-5620.4	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5714.810584721776
