PathParameter	MaxPathLikelihood	MLContribution
0.0000	-6089.7	-0.020185
2.1544e-07	-6103.1	-0.026277
2.1715e-06	-6110.8	-0.055858
8.3895e-06	-6105.4	-0.10240
2.1888e-05	-6092.9	-0.17301
4.6050e-05	-6087.5	-0.26659
8.4561e-05	-6090.4	-0.38627
0.00014136	-6094.6	-0.52307
0.00022061	-6040.3	-0.69702
0.00032669	-6050.6	-0.89833
0.00046416	-6109.5	-1.1241
0.00063774	-6079.6	-1.3901
0.00085232	-6088.6	-1.6773
0.0011130	-6091.6	-2.0094
0.0014248	-6089.4	-2.3661
0.0017932	-6086.4	-2.7477
0.0022237	-6099.6	-3.1950
0.0027216	-6069.6	-3.6568
0.0032929	-6059.2	-4.1052
0.0039432	-6067.6	-4.6557
0.0046784	-6082.0	-5.2236
0.0055047	-6092.6	-5.8483
0.0064280	-6060.0	-6.4656
0.0074546	-6052.6	-7.1049
0.0085909	-6058.7	-7.8572
0.0098431	-6058.3	-8.5869
0.011218	-6070.0	-9.3670
0.012722	-6011.8	-10.214
0.014361	-6048.2	-11.105
0.016143	-6037.0	-11.990
0.018075	-6033.2	-12.922
0.020162	-6057.5	-13.908
0.022413	-6031.4	-14.967
0.024834	-6030.0	-16.014
0.027432	-6012.6	-17.135
0.030215	-6031.9	-18.336
0.033190	-6028.3	-19.496
0.036364	-5983.1	-20.743
0.039745	-6011.7	-22.053
0.043339	-6018.3	-23.374
0.047156	-5994.8	-24.741
0.051201	-5996.1	-26.156
0.055484	-6013.9	-27.638
0.060011	-6000.1	-29.174
0.064790	-5986.3	-30.697
0.069830	-5970.5	-32.292
0.075138	-5955.2	-33.949
0.080722	-5953.9	-35.611
0.086591	-5950.2	-37.332
0.092751	-5956.5	-39.087
0.099213	-5925.2	-40.928
0.10598	-5934.0	-42.744
0.11307	-5944.2	-44.668
0.12048	-5925.4	-46.577
0.12823	-5918.8	-48.577
0.13631	-5915.7	-50.614
0.14475	-5884.4	-52.621
0.15355	-5856.9	-54.733
0.16271	-5863.5	-56.893
0.17226	-5855.2	-59.098
0.18218	-5845.9	-61.303
0.19250	-5846.1	-63.547
0.20322	-5823.3	-65.906
0.21436	-5783.9	-68.114
0.22591	-5767.6	-70.464
0.23789	-5775.7	-72.912
0.25031	-5787.0	-75.302
0.26318	-5774.9	-77.982
0.27650	-5758.5	-80.430
0.29029	-5752.7	-82.907
0.30455	-5735.4	-85.487
0.31930	-5725.0	-88.218
0.33454	-5693.4	-90.786
0.35028	-5704.1	-93.522
0.36653	-5719.6	-96.690
0.38330	-5674.0	-99.299
0.40060	-5681.0	-102.09
0.41844	-5671.7	-105.24
0.43683	-5671.9	-108.14
0.45578	-5676.9	-111.37
0.47530	-5665.9	-114.49
0.49539	-5674.4	-117.92
0.51608	-5666.5	-121.07
0.53735	-5669.2	-124.58
0.55924	-5659.8	-128.06
0.58174	-5665.0	-131.55
0.60487	-5658.1	-135.12
0.62863	-5657.3	-138.74
0.65304	-5658.7	-142.51
0.67811	-5654.9	-146.19
0.70384	-5639.8	-149.86
0.73025	-5651.9	-153.73
0.75734	-5650.5	-157.71
0.78513	-5637.6	-161.54
0.81363	-5633.2	-165.59
0.84284	-5625.8	-169.61
0.87278	-5613.9	-173.63
0.90345	-5616.2	-177.84
0.93488	-5587.9	-181.84
0.96705	-5587.8	-185.82
1.0000	5.2134e+51	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5784.046312039283
