PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5825.2	-0.018867
2.1544e-07	-5824.9	-0.023799
2.1715e-06	-5794.6	-0.053259
8.3895e-06	-5810.5	-0.096331
2.1888e-05	-5817.5	-0.15794
4.6050e-05	-5837.0	-0.24284
8.4561e-05	-5825.1	-0.35157
0.00014136	-5849.3	-0.48465
0.00022061	-5822.2	-0.64599
0.00032669	-5827.9	-0.83282
0.00046416	-5832.5	-1.0459
0.00063774	-5845.1	-1.2922
0.00085232	-5824.1	-1.5692
0.0011130	-5838.9	-1.8720
0.0014248	-5835.2	-2.2098
0.0017932	-5818.8	-2.5757
0.0022237	-5826.8	-2.9756
0.0027216	-5825.5	-3.4123
0.0032929	-5814.7	-3.8815
0.0039432	-5828.7	-4.3857
0.0046784	-5826.8	-4.9241
0.0055047	-5842.5	-5.4954
0.0064280	-5821.8	-6.1090
0.0074546	-5801.5	-6.7608
0.0085909	-5803.8	-7.4402
0.0098431	-5839.8	-8.1718
0.011218	-5821.5	-8.9290
0.012722	-5822.3	-9.7280
0.014361	-5824.1	-10.567
0.016143	-5797.3	-11.446
0.018075	-5802.7	-12.373
0.020162	-5816.8	-13.324
0.022413	-5807.1	-14.320
0.024834	-5816.9	-15.362
0.027432	-5810.8	-16.439
0.030215	-5807.6	-17.551
0.033190	-5801.6	-18.721
0.036364	-5814.9	-19.918
0.039745	-5803.8	-21.164
0.043339	-5803.7	-22.453
0.047156	-5794.9	-23.782
0.051201	-5790.8	-25.159
0.055484	-5790.6	-26.568
0.060011	-5790.1	-28.031
0.064790	-5783.0	-29.519
0.069830	-5785.5	-31.101
0.075138	-5780.5	-32.689
0.080722	-5773.9	-34.285
0.086591	-5781.4	-35.986
0.092751	-5766.8	-37.738
0.099213	-5767.9	-39.502
0.10598	-5763.8	-41.327
0.11307	-5762.1	-43.162
0.12048	-5741.4	-45.065
0.12823	-5756.8	-47.007
0.13631	-5766.3	-49.081
0.14475	-5745.0	-51.101
0.15355	-5739.0	-53.237
0.16271	-5755.6	-55.339
0.17226	-5713.8	-57.541
0.18218	-5740.5	-59.763
0.19250	-5734.5	-62.112
0.20322	-5730.3	-64.411
0.21436	-5728.3	-66.833
0.22591	-5744.8	-69.284
0.23789	-5710.7	-71.714
0.25031	-5713.7	-74.218
0.26318	-5704.9	-76.796
0.27650	-5687.1	-79.353
0.29029	-5704.1	-82.012
0.30455	-5693.9	-84.730
0.31930	-5667.0	-87.246
0.33454	-5690.0	-90.243
0.35028	-5668.6	-93.305
0.36653	-5654.5	-95.747
0.38330	-5672.9	-99.015
0.40060	-5636.4	-101.43
0.41844	-5649.2	-104.49
0.43683	-5636.6	-107.61
0.45578	-5647.6	-110.82
0.47530	-5638.8	-113.86
0.49539	-5639.6	-117.20
0.51608	-5632.5	-120.37
0.53735	-5634.4	-123.85
0.55924	-5629.7	-127.33
0.58174	-5630.3	-130.68
0.60487	-5633.5	-134.43
0.62863	-5630.3	-137.88
0.65304	-5628.7	-141.53
0.67811	-5627.9	-145.28
0.70384	-5620.8	-149.06
0.73025	-5619.2	-152.87
0.75734	-5615.5	-156.78
0.78513	-5613.6	-160.72
0.81363	-5612.6	-164.69
0.84284	-5584.1	-168.70
0.87278	-5597.1	-172.86
0.90345	-5589.1	-176.96
0.93488	-5591.4	-181.23
0.96705	-5562.2	-185.42
1.0000	6.3441e+86	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5709.397862496084
