PathParameter	MaxPathLikelihood	MLContribution
0.0000	-6361.0	-0.0071169
2.1544e-07	-6376.2	-0.020517
2.1715e-06	-6373.2	-0.051559
8.3895e-06	-6380.5	-0.10035
2.1888e-05	-6371.1	-0.17505
4.6050e-05	-6363.3	-0.27127
8.4561e-05	-6366.1	-0.39201
0.00014136	-6369.9	-0.54155
0.00022061	-6376.5	-0.71605
0.00032669	-6369.0	-0.92302
0.00046416	-6353.3	-1.1601
0.00063774	-6371.0	-1.4354
0.00085232	-6371.7	-1.7338
0.0011130	-6357.7	-2.0730
0.0014248	-6384.7	-2.4433
0.0017932	-6368.1	-2.8523
0.0022237	-6351.5	-3.3003
0.0027216	-6352.0	-3.7539
0.0032929	-6345.1	-4.2909
0.0039432	-6366.5	-4.8192
0.0046784	-6362.2	-5.4230
0.0055047	-6365.0	-6.0487
0.0064280	-6350.7	-6.7087
0.0074546	-6350.2	-7.4195
0.0085909	-6350.3	-8.1556
0.0098431	-6323.9	-8.9353
0.011218	-6342.8	-9.7763
0.012722	-6333.2	-10.628
0.014361	-6334.9	-11.554
0.016143	-6321.6	-12.489
0.018075	-6317.1	-13.504
0.020162	-6319.1	-14.532
0.022413	-6315.6	-15.619
0.024834	-6256.9	-16.749
0.027432	-6331.3	-17.927
0.030215	-6301.4	-19.115
0.033190	-6315.7	-20.405
0.036364	-6306.0	-21.698
0.039745	-6307.3	-23.055
0.043339	-6298.9	-24.450
0.047156	-6287.5	-25.896
0.051201	-6264.2	-27.389
0.055484	-6284.4	-28.921
0.060011	-6272.1	-30.511
0.064790	-6268.8	-32.131
0.069830	-6249.1	-33.775
0.075138	-6260.5	-35.520
0.080722	-6241.0	-37.253
0.086591	-6225.7	-39.117
0.092751	-6212.2	-40.892
0.099213	-6195.1	-42.754
0.10598	-6195.7	-44.704
0.11307	-6207.8	-46.733
0.12048	-6174.0	-48.702
0.12823	-6158.1	-50.736
0.13631	-6123.3	-52.847
0.14475	-6149.6	-54.977
0.15355	-6120.8	-57.013
0.16271	-6111.0	-59.389
0.17226	-6075.1	-61.545
0.18218	-6047.6	-63.704
0.19250	-6064.3	-66.057
0.20322	-6037.1	-68.425
0.21436	-6043.7	-70.885
0.22591	-5976.7	-73.114
0.23789	-5922.4	-75.496
0.25031	-5945.5	-77.897
0.26318	-5922.0	-80.331
0.27650	-5922.7	-83.020
0.29029	-5890.9	-85.280
0.30455	-5877.1	-88.093
0.31930	-5865.7	-90.512
0.33454	-5879.5	-93.719
0.35028	-5857.0	-96.330
0.36653	-5824.8	-98.820
0.38330	-5819.7	-101.91
0.40060	-5780.4	-104.64
0.41844	-5794.5	-107.57
0.43683	-5781.2	-110.66
0.45578	-5789.3	-113.84
0.47530	-5776.1	-116.98
0.49539	-5765.8	-119.84
0.51608	-5766.5	-123.41
0.53735	-5762.8	-126.75
0.55924	-5764.1	-130.48
0.58174	-5754.6	-133.74
0.60487	-5751.5	-137.37
0.62863	-5756.5	-141.07
0.65304	-5753.0	-144.80
0.67811	-5750.4	-148.49
0.70384	-5756.1	-152.54
0.73025	-5743.9	-156.34
0.75734	-5739.7	-160.29
0.78513	-5734.7	-164.27
0.81363	-5721.6	-168.30
0.84284	-5726.0	-172.41
0.87278	-5710.8	-176.59
0.90345	-5697.6	-180.74
0.93488	-5675.4	-184.67
0.96705	-5622.6	-187.88
1.0000	3.3562e+44	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5933.283648875055
