PathParameter	MaxPathLikelihood	MLContribution
0.0000	-6094.2	-0.017280
2.1544e-07	-6087.0	-0.023897
2.1715e-06	-6099.5	-0.058289
8.3895e-06	-6100.0	-0.10020
2.1888e-05	-6068.3	-0.16739
4.6050e-05	-6095.1	-0.25791
8.4561e-05	-6080.8	-0.37075
0.00014136	-6092.0	-0.51180
0.00022061	-6083.2	-0.68335
0.00032669	-6078.4	-0.88660
0.00046416	-6069.6	-1.1038
0.00063774	-6083.6	-1.3667
0.00085232	-6071.1	-1.6492
0.0011130	-6094.7	-1.9676
0.0014248	-6108.3	-2.3231
0.0017932	-6092.4	-2.7070
0.0022237	-6089.8	-3.1330
0.0027216	-6100.1	-3.5871
0.0032929	-6096.0	-4.0739
0.0039432	-6083.2	-4.5998
0.0046784	-6067.0	-5.1600
0.0055047	-6079.6	-5.7704
0.0064280	-6054.2	-6.4108
0.0074546	-6078.7	-7.0739
0.0085909	-6045.1	-7.7895
0.0098431	-6080.9	-8.5503
0.011218	-6051.2	-9.3350
0.012722	-6059.1	-10.165
0.014361	-6043.5	-11.037
0.016143	-6021.5	-11.963
0.018075	-6036.7	-12.893
0.020162	-6051.1	-13.904
0.022413	-6044.8	-14.939
0.024834	-6023.8	-16.024
0.027432	-5988.8	-17.134
0.030215	-6017.7	-18.300
0.033190	-6036.2	-19.511
0.036364	-5993.9	-20.758
0.039745	-6024.4	-22.057
0.043339	-5990.3	-23.377
0.047156	-6013.0	-24.780
0.051201	-5999.2	-26.187
0.055484	-5998.8	-27.647
0.060011	-5980.5	-29.153
0.064790	-5988.4	-30.752
0.069830	-5983.5	-32.324
0.075138	-5983.3	-33.957
0.080722	-5987.2	-35.671
0.086591	-5956.6	-37.360
0.092751	-5969.3	-39.142
0.099213	-5955.2	-40.982
0.10598	-5949.0	-42.803
0.11307	-5926.2	-44.745
0.12048	-5930.2	-46.647
0.12823	-5932.4	-48.640
0.13631	-5891.7	-50.693
0.14475	-5863.7	-52.741
0.15355	-5890.6	-54.852
0.16271	-5877.6	-56.917
0.17226	-5840.1	-59.111
0.18218	-5861.7	-61.403
0.19250	-5818.0	-63.520
0.20322	-5817.2	-65.914
0.21436	-5809.0	-68.225
0.22591	-5816.0	-70.637
0.23789	-5794.7	-72.976
0.25031	-5767.0	-75.436
0.26318	-5776.6	-77.951
0.27650	-5764.2	-80.442
0.29029	-5728.1	-82.790
0.30455	-5723.3	-85.490
0.31930	-5720.1	-87.996
0.33454	-5705.6	-90.768
0.35028	-5700.5	-93.582
0.36653	-5689.7	-96.306
0.38330	-5685.3	-99.261
0.40060	-5694.6	-102.40
0.41844	-5686.0	-105.29
0.43683	-5682.3	-108.36
0.45578	-5680.6	-111.49
0.47530	-5673.4	-114.64
0.49539	-5680.3	-118.02
0.51608	-5674.1	-121.34
0.53735	-5672.8	-124.71
0.55924	-5670.1	-128.14
0.58174	-5668.1	-131.64
0.60487	-5664.8	-135.21
0.62863	-5668.4	-138.84
0.65304	-5661.5	-142.54
0.67811	-5653.5	-146.13
0.70384	-5648.7	-149.83
0.73025	-5650.1	-153.86
0.75734	-5638.5	-157.61
0.78513	-5644.4	-161.67
0.81363	-5644.8	-165.77
0.84284	-5639.0	-169.64
0.87278	-5631.9	-173.76
0.90345	-5611.2	-178.01
0.93488	-5607.0	-182.06
0.96705	-5499.0	-185.41
1.0000	7.8503e+12	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5785.904892628943
