PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5724.2	-0.021222
2.1544e-07	-5719.8	-0.030457
2.1715e-06	-5714.4	-0.049954
8.3895e-06	-5714.7	-0.093850
2.1888e-05	-5713.5	-0.15763
4.6050e-05	-5715.6	-0.24229
8.4561e-05	-5708.4	-0.34555
0.00014136	-5720.7	-0.47834
0.00022061	-5698.6	-0.63391
0.00032669	-5720.0	-0.81738
0.00046416	-5709.4	-1.0282
0.00063774	-5711.0	-1.2651
0.00085232	-5705.4	-1.5324
0.0011130	-5712.7	-1.8325
0.0014248	-5711.4	-2.1599
0.0017932	-5721.8	-2.5204
0.0022237	-5726.8	-2.9144
0.0027216	-5698.4	-3.3351
0.0032929	-5724.1	-3.7955
0.0039432	-5701.4	-4.2796
0.0046784	-5699.9	-4.8071
0.0055047	-5713.5	-5.3695
0.0064280	-5700.7	-5.9645
0.0074546	-5698.0	-6.5975
0.0085909	-5714.6	-7.2688
0.0098431	-5709.7	-7.9775
0.011218	-5710.8	-8.7284
0.012722	-5699.5	-9.5094
0.014361	-5713.1	-10.324
0.016143	-5702.6	-11.188
0.018075	-5685.9	-12.066
0.020162	-5707.1	-13.020
0.022413	-5692.8	-13.995
0.024834	-5694.5	-15.014
0.027432	-5696.1	-16.066
0.030215	-5689.7	-17.169
0.033190	-5700.9	-18.314
0.036364	-5703.2	-19.498
0.039745	-5688.6	-20.733
0.043339	-5695.1	-21.965
0.047156	-5695.8	-23.287
0.051201	-5685.7	-24.635
0.055484	-5688.6	-26.007
0.060011	-5677.8	-27.453
0.064790	-5679.7	-28.966
0.069830	-5687.1	-30.483
0.075138	-5683.6	-32.025
0.080722	-5681.1	-33.647
0.086591	-5673.7	-35.316
0.092751	-5681.9	-37.008
0.099213	-5675.1	-38.793
0.10598	-5672.7	-40.539
0.11307	-5674.1	-42.380
0.12048	-5669.3	-44.288
0.12823	-5665.6	-46.219
0.13631	-5660.6	-48.194
0.14475	-5629.8	-50.212
0.15355	-5665.6	-52.302
0.16271	-5663.5	-54.501
0.17226	-5666.9	-56.617
0.18218	-5658.4	-58.831
0.19250	-5657.5	-61.086
0.20322	-5656.4	-63.451
0.21436	-5637.5	-65.727
0.22591	-5660.7	-68.257
0.23789	-5632.8	-70.617
0.25031	-5635.3	-73.094
0.26318	-5610.2	-75.599
0.27650	-5631.5	-78.285
0.29029	-5616.5	-80.794
0.30455	-5626.5	-83.618
0.31930	-5599.4	-85.955
0.33454	-5594.1	-88.755
0.35028	-5604.5	-91.706
0.36653	-5595.3	-94.496
0.38330	-5605.5	-97.618
0.40060	-5593.3	-100.38
0.41844	-5592.2	-103.28
0.43683	-5589.0	-106.31
0.45578	-5589.7	-109.45
0.47530	-5588.6	-112.63
0.49539	-5590.0	-116.00
0.51608	-5589.4	-119.21
0.53735	-5582.1	-122.66
0.55924	-5587.5	-126.07
0.58174	-5583.6	-129.61
0.60487	-5584.5	-133.09
0.62863	-5582.8	-136.68
0.65304	-5575.4	-140.36
0.67811	-5579.0	-144.04
0.70384	-5574.1	-147.81
0.73025	-5581.0	-151.67
0.75734	-5568.7	-155.48
0.78513	-5568.3	-159.40
0.81363	-5570.4	-163.37
0.84284	-5566.5	-167.47
0.87278	-5538.9	-171.49
0.90345	-5555.6	-175.68
0.93488	-5516.9	-179.61
0.96705	-5479.4	-183.42
1.0000	8.6147e+09	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5639.064706881834
