PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5908.1	-0.018389
2.1544e-07	-5905.0	-0.033022
2.1715e-06	-5900.2	-0.052110
8.3895e-06	-5915.0	-0.099804
2.1888e-05	-5916.7	-0.16626
4.6050e-05	-5926.4	-0.25220
8.4561e-05	-5922.4	-0.36272
0.00014136	-5913.4	-0.49662
0.00022061	-5889.8	-0.66068
0.00032669	-5883.5	-0.85528
0.00046416	-5913.3	-1.0732
0.00063774	-5898.9	-1.3206
0.00085232	-5929.6	-1.5980
0.0011130	-5912.7	-1.9130
0.0014248	-5899.9	-2.2508
0.0017932	-5886.4	-2.6253
0.0022237	-5906.1	-3.0328
0.0027216	-5919.3	-3.4781
0.0032929	-5911.5	-3.9529
0.0039432	-5895.1	-4.4622
0.0046784	-5893.8	-5.0172
0.0055047	-5910.9	-5.6031
0.0064280	-5884.3	-6.2138
0.0074546	-5881.9	-6.8734
0.0085909	-5889.9	-7.5741
0.0098431	-5893.7	-8.3096
0.011218	-5895.7	-9.0812
0.012722	-5896.2	-9.8755
0.014361	-5877.3	-10.739
0.016143	-5881.5	-11.633
0.018075	-5884.8	-12.547
0.020162	-5843.9	-13.501
0.022413	-5847.1	-14.520
0.024834	-5844.9	-15.563
0.027432	-5860.1	-16.654
0.030215	-5842.2	-17.799
0.033190	-5839.4	-18.946
0.036364	-5849.8	-20.167
0.039745	-5814.7	-21.395
0.043339	-5836.1	-22.708
0.047156	-5846.1	-24.065
0.051201	-5825.1	-25.407
0.055484	-5822.6	-26.871
0.060011	-5835.5	-28.292
0.064790	-5793.3	-29.801
0.069830	-5805.7	-31.354
0.075138	-5800.9	-32.955
0.080722	-5792.2	-34.609
0.086591	-5797.5	-36.249
0.092751	-5774.0	-37.991
0.099213	-5774.7	-39.733
0.10598	-5783.9	-41.573
0.11307	-5773.1	-43.414
0.12048	-5777.9	-45.373
0.12823	-5751.1	-47.244
0.13631	-5754.2	-49.248
0.14475	-5728.5	-51.323
0.15355	-5728.4	-53.341
0.16271	-5711.7	-55.365
0.17226	-5716.7	-57.491
0.18218	-5685.6	-59.650
0.19250	-5696.7	-61.903
0.20322	-5680.4	-64.108
0.21436	-5665.1	-66.403
0.22591	-5667.7	-68.690
0.23789	-5631.4	-70.961
0.25031	-5658.1	-73.580
0.26318	-5636.7	-75.890
0.27650	-5628.0	-78.521
0.29029	-5640.8	-81.031
0.30455	-5628.4	-83.522
0.31930	-5642.3	-86.579
0.33454	-5618.4	-89.123
0.35028	-5618.7	-91.856
0.36653	-5620.6	-94.817
0.38330	-5623.4	-97.733
0.40060	-5624.4	-100.74
0.41844	-5620.0	-103.70
0.43683	-5617.1	-106.85
0.45578	-5613.0	-110.05
0.47530	-5616.6	-113.24
0.49539	-5614.6	-116.56
0.51608	-5614.7	-119.86
0.53735	-5618.2	-123.28
0.55924	-5616.1	-126.73
0.58174	-5611.5	-130.25
0.60487	-5611.2	-133.80
0.62863	-5607.9	-137.38
0.65304	-5610.3	-141.08
0.67811	-5611.7	-144.83
0.70384	-5611.3	-148.65
0.73025	-5605.5	-152.41
0.75734	-5604.1	-156.37
0.78513	-5599.8	-160.26
0.81363	-5595.8	-164.24
0.84284	-5587.8	-168.32
0.87278	-5582.3	-172.41
0.90345	-5556.6	-176.36
0.93488	-5556.2	-180.62
0.96705	-5461.6	-184.17
1.0000	9.8339e+11	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5691.627621478676
