PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5899.9	-0.0013276
2.1544e-07	-5929.1	-0.012042
2.1715e-06	-5951.1	-0.038296
8.3895e-06	-5951.0	-0.083113
2.1888e-05	-5953.3	-0.14886
4.6050e-05	-5944.3	-0.23729
8.4561e-05	-5935.8	-0.35017
0.00014136	-5928.8	-0.48813
0.00022061	-5963.3	-0.65354
0.00032669	-5948.2	-0.84543
0.00046416	-5930.4	-1.0673
0.00063774	-5940.3	-1.3194
0.00085232	-5956.1	-1.6002
0.0011130	-5942.1	-1.9154
0.0014248	-5939.1	-2.2591
0.0017932	-5947.2	-2.6423
0.0022237	-5943.2	-3.0548
0.0027216	-5933.0	-3.5023
0.0032929	-5949.3	-3.9783
0.0039432	-5929.6	-4.4950
0.0046784	-5936.2	-5.0509
0.0055047	-5924.1	-5.6316
0.0064280	-5937.2	-6.2696
0.0074546	-5910.5	-6.9230
0.0085909	-5927.9	-7.6249
0.0098431	-5902.0	-8.3636
0.011218	-5928.0	-9.1462
0.012722	-5906.7	-9.9535
0.014361	-5892.8	-10.809
0.016143	-5914.6	-11.700
0.018075	-5899.0	-12.631
0.020162	-5898.6	-13.611
0.022413	-5875.6	-14.604
0.024834	-5883.7	-15.673
0.027432	-5883.4	-16.750
0.030215	-5880.5	-17.905
0.033190	-5879.2	-19.064
0.036364	-5866.8	-20.282
0.039745	-5856.4	-21.518
0.043339	-5847.3	-22.830
0.047156	-5862.1	-24.146
0.051201	-5833.8	-25.523
0.055484	-5844.8	-26.933
0.060011	-5830.8	-28.425
0.064790	-5822.2	-29.924
0.069830	-5832.0	-31.461
0.075138	-5807.3	-33.027
0.080722	-5807.4	-34.623
0.086591	-5786.8	-36.360
0.092751	-5778.7	-38.062
0.099213	-5789.2	-39.856
0.10598	-5771.6	-41.611
0.11307	-5749.2	-43.424
0.12048	-5745.9	-45.321
0.12823	-5701.1	-47.169
0.13631	-5742.9	-49.269
0.14475	-5730.1	-51.179
0.15355	-5724.4	-53.301
0.16271	-5700.3	-55.461
0.17226	-5658.7	-57.334
0.18218	-5696.2	-59.658
0.19250	-5678.8	-61.749
0.20322	-5684.5	-64.062
0.21436	-5651.2	-66.270
0.22591	-5645.7	-68.593
0.23789	-5629.8	-71.013
0.25031	-5626.5	-73.445
0.26318	-5613.5	-75.521
0.27650	-5607.1	-78.185
0.29029	-5604.4	-80.739
0.30455	-5602.2	-83.325
0.31930	-5599.6	-85.897
0.33454	-5598.6	-88.724
0.35028	-5602.0	-91.634
0.36653	-5599.8	-94.390
0.38330	-5601.3	-97.394
0.40060	-5593.1	-100.26
0.41844	-5595.9	-103.27
0.43683	-5592.5	-106.42
0.45578	-5594.3	-109.52
0.47530	-5593.4	-112.80
0.49539	-5596.1	-116.07
0.51608	-5591.9	-119.37
0.53735	-5594.6	-122.76
0.55924	-5593.0	-126.21
0.58174	-5589.2	-129.69
0.60487	-5593.4	-133.25
0.62863	-5593.7	-136.81
0.65304	-5587.7	-140.47
0.67811	-5588.1	-144.20
0.70384	-5581.9	-147.98
0.73025	-5585.8	-151.80
0.75734	-5576.0	-155.66
0.78513	-5585.0	-159.65
0.81363	-5574.3	-163.62
0.84284	-5567.0	-167.62
0.87278	-5586.8	-171.80
0.90345	-5549.2	-175.81
0.93488	-5565.4	-180.07
0.96705	-5555.3	-184.27
1.0000	-5436.5	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5677.411457677447
