PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5683.3	-0.0012516
2.1544e-07	-5666.8	-0.011348
2.1715e-06	-5684.2	-0.036122
8.3895e-06	-5682.8	-0.078291
2.1888e-05	-5659.8	-0.14052
4.6050e-05	-5689.9	-0.22372
8.4561e-05	-5684.4	-0.32996
0.00014136	-5683.8	-0.46013
0.00022061	-5666.7	-0.61563
0.00032669	-5668.7	-0.79684
0.00046416	-5667.3	-1.0068
0.00063774	-5685.1	-1.2436
0.00085232	-5681.4	-1.5100
0.0011130	-5672.0	-1.8063
0.0014248	-5680.1	-2.1322
0.0017932	-5681.8	-2.4889
0.0022237	-5691.1	-2.8797
0.0027216	-5680.8	-3.3002
0.0032929	-5678.5	-3.7520
0.0039432	-5681.5	-4.2405
0.0046784	-5673.9	-4.7638
0.0055047	-5683.0	-5.3208
0.0064280	-5667.9	-5.9093
0.0074546	-5681.0	-6.5378
0.0085909	-5654.3	-7.2014
0.0098431	-5680.5	-7.9043
0.011218	-5686.8	-8.6483
0.012722	-5685.6	-9.4253
0.014361	-5676.7	-10.231
0.016143	-5673.7	-11.088
0.018075	-5684.0	-11.981
0.020162	-5657.7	-12.912
0.022413	-5682.7	-13.886
0.024834	-5661.7	-14.896
0.027432	-5683.1	-15.955
0.030215	-5672.1	-17.043
0.033190	-5672.6	-18.184
0.036364	-5654.4	-19.360
0.039745	-5665.5	-20.583
0.043339	-5671.4	-21.840
0.047156	-5675.0	-23.152
0.051201	-5665.6	-24.501
0.055484	-5671.5	-25.895
0.060011	-5666.0	-27.319
0.064790	-5673.0	-28.811
0.069830	-5665.3	-30.347
0.075138	-5647.6	-31.886
0.080722	-5659.9	-33.502
0.086591	-5647.6	-35.170
0.092751	-5667.4	-36.900
0.099213	-5654.4	-38.585
0.10598	-5645.5	-40.422
0.11307	-5631.5	-42.226
0.12048	-5652.9	-44.166
0.12823	-5642.0	-46.006
0.13631	-5645.2	-48.031
0.14475	-5639.3	-50.053
0.15355	-5619.4	-52.055
0.16271	-5640.2	-54.233
0.17226	-5636.0	-56.342
0.18218	-5630.9	-58.584
0.19250	-5631.7	-60.889
0.20322	-5627.8	-63.125
0.21436	-5621.8	-65.448
0.22591	-5621.5	-67.888
0.23789	-5622.5	-70.267
0.25031	-5605.2	-72.908
0.26318	-5631.1	-75.430
0.27650	-5614.2	-77.922
0.29029	-5606.2	-80.485
0.30455	-5603.1	-83.157
0.31930	-5609.9	-85.930
0.33454	-5609.2	-88.834
0.35028	-5604.8	-91.547
0.36653	-5597.1	-94.512
0.38330	-5607.8	-97.560
0.40060	-5597.8	-100.44
0.41844	-5595.3	-103.34
0.43683	-5600.1	-106.48
0.45578	-5594.7	-109.68
0.47530	-5600.4	-112.93
0.49539	-5595.7	-116.11
0.51608	-5595.6	-119.54
0.53735	-5592.5	-122.78
0.55924	-5592.9	-126.25
0.58174	-5594.3	-129.77
0.60487	-5591.5	-133.24
0.62863	-5584.3	-136.81
0.65304	-5588.8	-140.51
0.67811	-5590.8	-144.29
0.70384	-5580.3	-148.11
0.73025	-5583.8	-151.80
0.75734	-5585.9	-155.66
0.78513	-5578.3	-159.69
0.81363	-5569.4	-163.60
0.84284	-5581.2	-167.66
0.87278	-5564.1	-171.73
0.90345	-5562.7	-175.79
0.93488	-5526.9	-179.92
0.96705	-5493.5	-183.94
1.0000	-5501.2	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5634.884596039011
