PathParameter	MaxPathLikelihood	MLContribution
0.0000	-6137.8	-0.0013756
2.1544e-07	-6133.2	-0.012465
2.1715e-06	-6144.7	-0.039683
8.3895e-06	-6109.0	-0.086332
2.1888e-05	-6136.1	-0.15418
4.6050e-05	-6123.7	-0.24509
8.4561e-05	-6145.8	-0.36270
0.00014136	-6146.6	-0.50504
0.00022061	-6125.1	-0.67598
0.00032669	-6116.9	-0.87598
0.00046416	-6143.3	-1.1051
0.00063774	-6142.2	-1.3620
0.00085232	-6136.5	-1.6582
0.0011130	-6111.6	-1.9784
0.0014248	-6123.6	-2.3358
0.0017932	-6110.1	-2.7253
0.0022237	-6106.1	-3.1512
0.0027216	-6100.7	-3.6115
0.0032929	-6108.6	-4.1071
0.0039432	-6103.9	-4.6480
0.0046784	-6088.5	-5.2128
0.0055047	-6116.9	-5.8146
0.0064280	-6134.9	-6.4559
0.0074546	-6090.1	-7.1414
0.0085909	-6107.1	-7.8524
0.0098431	-6085.0	-8.6136
0.011218	-6084.8	-9.4268
0.012722	-6111.4	-10.277
0.014361	-6095.3	-11.160
0.016143	-6078.5	-12.058
0.018075	-6094.0	-13.022
0.020162	-6095.3	-14.023
0.022413	-6054.3	-15.051
0.024834	-6093.2	-16.148
0.027432	-6069.0	-17.243
0.030215	-6050.6	-18.431
0.033190	-6055.7	-19.631
0.036364	-6055.0	-20.906
0.039745	-6046.1	-22.181
0.043339	-6058.5	-23.532
0.047156	-6052.4	-24.897
0.051201	-6033.9	-26.335
0.055484	-6032.0	-27.810
0.060011	-6034.9	-29.337
0.064790	-6025.5	-30.896
0.069830	-6032.5	-32.511
0.075138	-6014.7	-34.162
0.080722	-6011.6	-35.848
0.086591	-6009.9	-37.589
0.092751	-6015.7	-39.394
0.099213	-5985.7	-41.239
0.10598	-5992.4	-43.108
0.11307	-5951.5	-45.032
0.12048	-5980.3	-46.970
0.12823	-5957.5	-48.980
0.13631	-5958.1	-51.065
0.14475	-5931.8	-53.096
0.15355	-5932.7	-55.264
0.16271	-5901.3	-57.378
0.17226	-5908.5	-59.688
0.18218	-5901.2	-61.858
0.19250	-5904.3	-64.144
0.20322	-5879.1	-66.429
0.21436	-5869.2	-68.792
0.22591	-5832.6	-71.110
0.23789	-5813.9	-73.572
0.25031	-5798.2	-75.990
0.26318	-5768.6	-78.422
0.27650	-5767.0	-80.934
0.29029	-5776.4	-83.631
0.30455	-5773.1	-86.075
0.31930	-5742.8	-88.646
0.33454	-5742.5	-91.307
0.35028	-5722.5	-93.897
0.36653	-5719.1	-96.892
0.38330	-5710.1	-99.572
0.40060	-5699.1	-102.43
0.41844	-5696.7	-105.57
0.43683	-5694.1	-108.58
0.45578	-5691.7	-111.81
0.47530	-5688.9	-114.89
0.49539	-5681.9	-118.22
0.51608	-5684.4	-121.46
0.53735	-5683.7	-125.06
0.55924	-5680.1	-128.33
0.58174	-5680.2	-131.88
0.60487	-5680.0	-135.44
0.62863	-5673.1	-139.13
0.65304	-5674.7	-142.83
0.67811	-5680.6	-146.58
0.70384	-5669.1	-150.39
0.73025	-5676.0	-154.26
0.75734	-5663.9	-158.16
0.78513	-5666.8	-162.19
0.81363	-5667.7	-166.21
0.84284	-5670.6	-170.32
0.87278	-5663.9	-174.46
0.90345	-5646.0	-178.59
0.93488	-5654.9	-182.86
0.96705	-5598.5	-186.97
1.0000	-5585.1	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5812.314954383012
